bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,is_cs
123inkt.nl,123inkt.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-16,Veenendaal,8,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123inkt-nl-4459198463,klantenservice medewerker,ok,,,3,freshdesk,kiyoh,ja,,2,,,1394 PC,,,ja
123schoon.nl,123schoon.nl,geraden en bevestigd,Klantenservice Medewerker,2026-09-10,Nederhorst den Berg,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-123schoon-nl-4465393012,klantenservice medewerker,ok,,,,freshdesk,kiyoh,ja,,2,,,1329 AK,,,ja
3Shape,3shape.com,geraden en bevestigd,Customer Success Manager BeNeLux,2026-09-22,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-at-3shape-4470298062,customer happiness,ok,,,,,,,,0,demo aanvragen,,,,,ja
4shipping,4shipping.com,geraden en bevestigd,Customer Success Specialist,2026-08-25,Zwijndrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-at-4shipping-4458745711,customer happiness,ok,,,,,,,,0,,,,,,ja
Aarnink Vleeswaren,aarninkvleeswaren.nl,geraden en bevestigd,COMMERCIEEL MEDEWERKER BINNENDIENST (LOCHEM),2026-08-05,Lochem,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-lochem-at-aarnink-vleeswaren-4448900769,orderverwerking medewerker,ok,,,,,,,,0,,,7241 CS,,,
ABD,abd.nl,geraden en bevestigd,Verkoopadviseur,2026-08-11,Heerenveen,1,nee,https://nl.linkedin.com/jobs/view/verkoopadviseur-at-abd-renault-nissan-dacia-4452447964,klantadviseur,ok,,,,,,,,1,,,9207 GL,0512-515615,,
ABENA,abena.nl,geraden en bevestigd,Order Entry &amp; Sales Support Medewerker,2026-09-03,Haps,1,nee,https://nl.linkedin.com/jobs/view/order-entry-sales-support-medewerker-at-abena-4462837755,orderverwerking medewerker,ok,woocommerce,,,,trustpilot,ja,,2,,12025762,5443 PW,0485581150,1.822,ja
Abiom,abiom.nl,geraden en bevestigd,Servicedesk Medewerker,2026-09-17,Houten,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-abiom-4468622719,webcare medewerker,ok,,,,,,,,2,,,6604 LD,0031243734422,,ja
AEP International B.V.,aep.com,geraden en bevestigd,Commercieel Medewerker Binnendienst,2026-09-10,Alblasserdam,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-aep-international-b-v-4463481660,orderverwerking medewerker,ok,,,,,,,,0,,,,,,
AIMMS,aimms.nl,geraden en bevestigd,sr. Customer Success Manager Supply Chain,2026-07-02,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/sr-customer-success-manager-supply-chain-at-aimms-4435569864,customer happiness,ok,,,,,,,,0,,,,,,ja
AkzoNobel,akzonobel.com,geraden en bevestigd,Customer Service Representative,2026-09-18,Sassenheim,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-akzonobel-4469125291,klantenservice medewerker,ok,,,,,,,,0,,,,,,ja
ALKU,alku.nl,geraden en bevestigd,Verkoopadviseur,2026-09-04,Tilburg,2,nee,https://nl.linkedin.com/jobs/view/verkoopadviseur-at-alku-4461984846,klantadviseur,ok,woocommerce,,,hubspot,kiyoh|klantenvertellen,ja,ja,0,,,5048 AN,0135434519,,
All About Work,allaboutwork.com,geraden en bevestigd,Communicatiemedewerker,2026-09-11,Stadskanaal,1,nee,https://nl.linkedin.com/jobs/view/communicatiemedewerker-at-all-about-work-4466099513,webcare medewerker,ok,,,,,,,,0,,,,,,
Allegion,allegion.com,geraden en bevestigd,Customer Experience Manager,2026-07-01,Veenendaal,1,nee,https://nl.linkedin.com/jobs/view/customer-experience-manager-at-allegion-4434639725,customer happiness,ok,,,,,,,,0,,,,,,ja
Allianz Direct,allianzdirect.nl,geraden en bevestigd,Client Success Medewerker,2025-06-02,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/client-success-medewerker-at-allianz-direct-4242804934,klantadviseur,ok,,,,chatgpt-bot,,,,0,,,,0205929890,,
Alloga,alloga.com,geraden en bevestigd,Employee customer service X 5,2026-05-27,Veghel,1,nee,https://nl.linkedin.com/jobs/view/employee-customer-service-x-5-at-alloga-4417214824,orderverwerking medewerker,ok,,,,,,,,0,,,,,,
Almotion B.V.,almotion.nl,geraden en bevestigd,Medewerker commerciële binnendienst,2026-09-22,Elst,1,nee,https://nl.linkedin.com/jobs/view/medewerker-commerci%C3%ABle-binnendienst-at-almotion-b-v-4470287628,orderverwerking medewerker,ok,woocommerce,,,whatsapp|chatgpt-bot,,ja,,1,veiling,09114908,6662 NG,0850491777,,
Alphenix Bouwgroep B.V.,alphenixbouwgroep.nl,geraden en bevestigd,Representante de atendimento ao cliente,2026-09-11,Amsterdam,1,nee,,klantenservice medewerker,ok,,,,whatsapp,,,,0,api[- ]documen,,1042AL,,,
Alpina Group,alpina.com,geraden en bevestigd,Klantcontact medewerker,2026-09-01,Hoogeveen,2,nee,https://nl.linkedin.com/jobs/view/klantcontact-medewerker-at-alpina-group-4460258610,klantadviseur,ok,magento,,,whatsapp,,ja,,0,,,,,,ja
Amacx Sports Nutrition,amacx.com,geraden en bevestigd,AI-Driven Email &amp; Marketplace Specialist,2026-08-21,Noordwijk-Binnen,1,nee,https://nl.linkedin.com/jobs/view/ai-driven-email-marketplace-specialist-at-amacx-sports-nutrition-4457346846,e-commerce medewerker,ok,shopify,96,,,judgeme,ja,,0,,,2201 CW,+31717370031,,
Amdax,amdax.com,geraden en bevestigd,Customer Success Coordinator,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-coordinator-at-amdax-4465011695,customer happiness,ok,,,3,hubspot,,,,0,onze dienstver,74458477,1082 MS,+31-88-26329-00,,ja
Amega,amega.nl,geraden en bevestigd,Service &amp; support medewerker Inbound,2026-09-21,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/service-support-medewerker-inbound-at-amega-4468720965,klantenservice medewerker,ok,,,,,,,,2,,,3316 AK,078-6321370,,ja
American Express,americanexpress.com,geraden en bevestigd,American Express - Centurion Lounge Ambassador,2026-09-08,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/american-express-centurion-lounge-ambassador-at-american-express-4463531151,customer happiness,ok,,,,,,,,0,,,,,,
Ames Autobedrijf,ames.nl,geraden en bevestigd,Medewerker Sales Support - Ames,2026-09-21,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-sales-support-ames-at-ames-autobedrijf-4468727578,orderverwerking medewerker,ok,,,1,,feedbackcompany|klantenvertellen,,,1,,,3316 AK,0786143322,,ja
Anteryon B.V.,anteryon.com,geraden en bevestigd,Inside Sales Specialist,2026-09-16,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/inside-sales-specialist-at-anteryon-b-v-4454182530,orderverwerking medewerker,ok,,,,,,,,0,,,5657 BX,,,
Aon,aon.com,geraden en bevestigd,Junior Website Specialist,2026-09-19,Rotterdam,3,nee,https://nl.linkedin.com/jobs/view/junior-website-specialist-at-aon-4458595737,webcare medewerker,ok,,,,,,,,0,api[- ]documen,,,,,
Applied Medical,appliedmedical.com,geraden en bevestigd,Associate Customer Relations Representative - Italian and German speaking,2026-09-08,Amersfoort,2,nee,https://nl.linkedin.com/jobs/view/associate-customer-relations-representative-italian-and-german-speaking-at-applied-medical-4462526342,customer service,ok,,,,,,,,0,,,,,,ja
Ardagh Group,ardagh.com,geraden en bevestigd,Supply &amp; Demand Employee,2026-06-22,Oss,1,nee,https://nl.linkedin.com/jobs/view/supply-demand-employee-at-ardagh-group-4422369204,orderverwerking medewerker,ok,,,,,,,,0,,,,,,
Arie Bouman Green Outdoor B.V.,ariebouman.nl,geraden en bevestigd,Backoffice Medewerker Inkoop,2026-09-08,Wijk en Aalburg,1,nee,https://nl.linkedin.com/jobs/view/backoffice-medewerker-inkoop-at-arie-bouman-green-outdoor-b-v-4464492064,orderverwerking medewerker,ok,,,5,,,,ja,0,,,4261 TT,+31416692632,,
ARP Nederland B.V.,arp.nl,geraden en bevestigd,Sales Support Medewerker,2026-09-22,Maastricht,2,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-arp-nederland-b-v-4468589525,orderverwerking medewerker,ok,,,3,,,,,0,api[- ]documen,,,,,ja
ASAPCLOUD,asapcloud.com,geraden en bevestigd,Customer Success Manager,2026-09-21,Houten,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-asapcloud-4467603330,customer happiness,ok,,,,,,,,0,onze dienstver,,3992 LS,+31(0)348,,ja
Ascom,ascom.com,geraden en bevestigd,First Line Support Engineer,2026-08-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/first-line-support-engineer-at-ascom-4454455600,webcare medewerker,ok,,,36,,,,,0,,,3528 BD,+41 41 544 78 12,,
Asendia,asendiabenelux.com,geraden en bevestigd,Customer Success Manager,2026-08-25,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-asendia-4457491307,customer happiness,ok,,,,hubspot,,,,2,api[- ]documen,,,,,ja
Athlon Nederland,athlon.com:443,geraden en bevestigd,Klantadviseur,2026-09-16,Nieuwegein,1,nee,https://nl.linkedin.com/jobs/view/klantadviseur-at-athlon-nederland-4456467591,klantadviseur,ok,,,,whatsapp,trustpilot,,,0,,,1327 AG,0031365474444,,ja
Atlassian,atlassian.com,geraden en bevestigd,"Principal Customer Success Manager, Strategic DACH",2026-09-22,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/principal-customer-success-manager-strategic-dach-at-atlassian-4451509548,customer happiness,ok,,,,,,,,0,api[- ]documen,,0052CC,61292621443,,ja
Atos Medical,atosmedical.nl,geraden en bevestigd,Consumer Care Specialist,2026-09-19,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/consumer-care-specialist-at-atos-medical-4440770846,customer happiness,ok,,,,chatgpt-bot,,,,0,,,,,,ja
Audax Nederland,audax.nl,geraden en bevestigd,Medewerker klantenservice,2026-09-08,Almere,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-audax-netherlands-4440551063,klantenservice medewerker,ok,,,,,,,ja,0,api[- ]documen,,5126 ZH,,,ja
Autodistribution Nederland,autodistribution.nl,geraden en bevestigd,Customer Support Medewerker,2026-08-31,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/customer-support-medewerker-at-autodistribution-nederland-4450612001,klantenservice medewerker,ok,,,,,,,,0,,,,,,ja
Autoflex Automotive Software,autoflex.nl,geraden en bevestigd,Medewerker Klantenservice &amp; Support,2026-09-14,Putten,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-support-at-autoflex-4467070838,klantenservice medewerker,ok,,,,whatsapp,,,,1,demo aanvragen,,3881 SH,+31341375180,,ja
Avenir Collective,avenircollective.com,geraden en bevestigd,Account Manager (Bol.com),2026-09-15,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/account-manager-bol-com-at-avenir-collective-4465599184,e-commerce medewerker,ok,,,,,,,,0,,,,,,
AVR,avr.nl,geraden en bevestigd,Sales Support Medewerker,2026-08-17,Rozenburg,1,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-avr-4466064506,orderverwerking medewerker,ok,woocommerce,,,,,ja,,0,,,,,,ja
Axians NL,axians.nl,geraden en bevestigd,Customer Care Specialist,2026-09-10,Eindhoven,2,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-axians-nl-4456487800,klantenservice medewerker,ok,,,,hubspot,,,,0,,,1863DC,,,ja
AxionContinu,axioncontinu.nl,geraden en bevestigd,Medewerker ICT-Servicedesk,2026-08-25,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-ict-servicedesk-at-axioncontinu-4466945841,webcare medewerker,ok,,,,,,,,0,,,3526 KJ,0302822277,,ja
Axivate Horeca Group,axivatehoreca.nl,geraden en bevestigd,Medewerker Bediening (Nieuw concept),2026-09-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-nieuw-concept-at-axivate-horeca-group-4469115573,webcare medewerker,ok,,,,,,,,0,,,3511 BJ,+31850472050,,
Ayvens,ayvens.com:443,geraden en bevestigd,Specialist Ordering &amp; Fleetdesk I,2026-07-16,Rotterdam,5,nee,https://nl.linkedin.com/jobs/view/specialist-ordering-fleetdesk-i-at-ayvens-4437693035,klantadviseur,ok,,,,,,,,1,,,,,,ja
BAIYILED EUROPE B.V.,baiyiled.nl,geraden en bevestigd,Technisch Commercieel Medewerker Binnendienst &amp; Operations.,2026-08-21,Almere,1,nee,https://nl.linkedin.com/jobs/view/technisch-commercieel-medewerker-binnendienst-operations-at-baiyiled-europe-b-v-4457078701,orderverwerking medewerker,ok,woocommerce,,3,,,ja,,2,,52628914,1322AH,,,
BAM Nederland,bam.com,geraden en bevestigd,Klantadviseur,2026-09-11,Bunnik,1,nee,,klantadviseur,ok,,,3,,,,,0,,,3981 AZ,+31 (0)30 659 89 8,,ja
