bedrijf,domein,domein_bron,functie,is_cs,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal
Ace & Tate,acetate.com,geraden en bevestigd,E-Commerce Intern,,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-intern-at-ace-tate-4469857309,webshop beheerder,ok,,,,,,,,0,,,,,
Adwise - Your Digital Brain,adwise.nl,geraden en bevestigd,Merchandising &amp; Search Specialist,,2026-08-28,Enschede,6,nee,https://nl.linkedin.com/jobs/view/merchandising-search-specialist-at-adwise-your-digital-brain-4470443044,e-commerce medewerker,ok,,,3,hubspot|chatgpt-bot,,,,0,,,7609 RD,0546 - 80 74 80,
AEO DIRECT,aeodirect.com,geraden en bevestigd,Content &amp; AEO Specialist,,2026-08-04,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/content-aeo-specialist-at-aeo-direct-4448559070,content specialist webshop,ok,,,,whatsapp|chatgpt-bot,,,,0,,,,,
America Today,americatoday.com,geraden en bevestigd,E-Commerce stagiaire,,2026-05-16,Diemen,1,ja,https://nl.linkedin.com/jobs/view/e-commerce-stagiaire-at-america-today-4427022033,webshop beheerder,ok,,,,,,,,0,,,,,
Amoria Bond,amoriabond.com,geraden en bevestigd,Customer Order Specialist,ja,2026-09-22,"Noord-Holland, Nederland",1,nee,https://nl.linkedin.com/jobs/view/customer-order-specialist-at-amoria-bond-4470439619,orderverwerking,ok,,,,,,,,0,api[- ]documen,,1011 DK,+31 (0) 208 080 88,
Amsterdam Warehouse Company,amsterdamwarehouse.com,geraden en bevestigd,Customer Operations Specialist – Logistiek &amp; Warehousing,ja,2026-09-11,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-operations-specialist-%E2%80%93-logistiek-warehousing-at-amsterdam-warehouse-company-4465688510,orderverwerking,ok,,,,,,,,0,,,1046 BM,,
Anna van Toor,annavantoor.nl,geraden en bevestigd,Teamleider,,2026-04-15,Vianen,1,nee,https://nl.linkedin.com/jobs/view/teamleider-at-anna-van-toor-4402284348,webshop beheerder,ok,,,,,,,,2,,,,,
APL Logistics,apllogistics.com,geraden en bevestigd,Allround Logistiek Medewerker – Amsterdam,,2026-06-12,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/allround-logistiek-medewerker-%E2%80%93-amsterdam-at-apl-logistics-4428144141,logistiek medewerker webshop,ok,,,,,,,,0,,,8400 NW,+16026068861,
Asgro,asgro.nl,geraden en bevestigd,Logistiek medewerker,,2026-09-22,Vianen,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-at-asgro-4470419985,logistiek medewerker webshop,ok,,,,,,,,0,,,,,
Athora Netherlands,athora.nl,geraden en bevestigd,Copywriter,,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/copywriter-at-athora-netherlands-4442093198,content specialist webshop,ok,,,,,,,,1,,,1043 AP,,
Atolls,atolls.com,geraden en bevestigd,Junior Editor (m/f/x) - Dutch Speaking,,2026-09-11,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/junior-editor-m-f-x-dutch-speaking-at-atolls-4456723608,content specialist webshop,ok,,,,,,,,0,,,,,
Atvise | Next Level E-commerce 🔥🚀,atvise.nl,geraden en bevestigd,Magento developer,,2026-04-10,Noordwijk-Binnen,1,nee,https://nl.linkedin.com/jobs/view/magento-developer-at-atvise-next-level-e-commerce-%F0%9F%94%A5%F0%9F%9A%80-4398189730,webshop beheerder,ok,,,,,,,,0,,,2201TX,,
Azerty,essendant.com,geraden en bevestigd,Logistiek medewerker allround,,2026-07-24,Raalte,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-allround-at-azerty-4444960361,logistiek medewerker webshop,ok,,,,,,,ja,0,,,,+18552756947,
B&S Media Internetmarketing,bsmedia.nl,geraden en bevestigd,» Vacature Contentspecialist in Kampen,,2025-02-18,Kampen,1,nee,https://nl.linkedin.com/jobs/view/%C2%BB-vacature-contentspecialist-in-kampen-at-b-s-media-internetmarketing-4157800318,content specialist webshop,ok,,,,,,,,1,,52370860,8267 AC,0383376678,
Baktotaal,baktotaal.nl,geraden en bevestigd,Online marketeer Duits,,2026-09-11,Goor,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-duits-at-baktotaal-4466072603,online marketeer webshop,ok,magento,,8,,feedbackcompany,ja,ja,3,veiling,54072905,7472 DD,0548-623016 (,
BAS,bas.com,geraden en bevestigd,Meewerkstage E-Commerce,,2026-09-22,Veghel,2,nee,https://nl.linkedin.com/jobs/view/meewerkstage-e-commerce-at-bas-4470410953,webshop beheerder,ok,,,,,,,,0,,,,,
Beetronics BV,beetronics.nl,geraden en bevestigd,Country Manager Netherlands &amp; Belgium (E-Commerce &amp; Electronics),,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/country-manager-netherlands-belgium-e-commerce-electronics-at-beetronics-4465035070,webshop beheerder,ok,,,20,,,,,0,,,,,
Beko Europe,bekoeurope.com,geraden en bevestigd,Team Lead Order Desk,,2026-09-14,Breda,1,nee,https://nl.linkedin.com/jobs/view/team-lead-order-desk-at-beko-europe-4467059037,orderverwerking,ok,,,,,,,,0,,,1011 SB,,
BFG Trading B.V.,bfgtrading.com,geraden en bevestigd,ALLROUND LOGISTIEK MEDEWERKER,,2026-05-15,Dordrecht,1,nee,https://nl.linkedin.com/jobs/view/allround-logistiek-medewerker-at-bfg-trading-4411566889,logistiek medewerker webshop,ok,,,,,,,ja,0,api[- ]documen,,3316 LN,+31885 550781,
Big Thinkers Online Marketing,bigthinkers.nl,geraden en bevestigd,Senior Online Marketing Consultant,,2026-08-05,Barendrecht,1,nee,https://nl.linkedin.com/jobs/view/senior-online-marketing-consultant-at-big-thinkers-online-marketing-4447308616,online marketeer webshop,ok,,,,whatsapp,,,,0,,,3029 AK,(487)870-0710,
Blauwe Monsters (part of Conclusion),blauwemonsters.nl,geraden en bevestigd,Online Marketeer,,2026-06-23,Haarlem,2,nee,https://nl.linkedin.com/jobs/view/online-marketeer-at-blauwe-monsters-part-of-conclusion-4432425079,online marketeer webshop,ok,,,,hubspot,,,ja,1,api[- ]documen|veiling,,2031 CE,020-8932656,
blooming people,bloomingpeople.nl,geraden en bevestigd,Junior Functioneel Beheerder,,2026-09-10,"Zuid-Holland, Nederland",1,nee,https://nl.linkedin.com/jobs/view/junior-functioneel-beheerder-at-blooming-people-4463475428,webshop beheerder,ok,,,,whatsapp,,,,0,,,9722TT,31634189755,
Boermarke,boermarke.eu,geraden en bevestigd,Magazijnmedewerker / Orderpicker,ja,2026-04-24,Enschede,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-orderpicker-at-boermarke-b-v-4403760996,orderverwerking,ok,,,3,,,,,0,api[- ]documen,,7547 TA,+31534324802,
BONO,bono.nl,geraden en bevestigd,Media Buyer (META) | Paid Social Specialist,,2026-08-31,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/media-buyer-meta-paid-social-specialist-at-bono-4461051671,online marketeer webshop,ok,shopify,,,intercom,trustedshops,ja,,4,api[- ]documen,74636391,1511MA,,
Bouwmaat,bouwmaat.nl,geraden en bevestigd,Medewerker Logistiek,,2026-07-07,Hilversum,1,nee,https://nl.linkedin.com/jobs/view/medewerker-logistiek-at-bouwmaat-4436581659,logistiek medewerker webshop,ok,shopify,250,6,,trustpilot,ja,ja,3,,,3600 VB,,
Brandfirm,brandfirm.nl,geraden en bevestigd,Medior Contentspecialist,,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/medior-contentspecialist-at-brandfirm-4468165889,content specialist webshop,ok,,,3,,,,,1,,54572835,1096 AH,+31202170358,
BrandPit,brandpit.nl,geraden en bevestigd,"*vervuld* vacature website &amp; performance marketeer. theater, amsterdam.",,2026-04-16,Loenen,1,nee,https://nl.linkedin.com/jobs/view/vervuld-vacature-website-performance-marketeer-theater-amsterdam-at-brandpit-4402677114,webshop beheerder,ok,,,3,hubspot|whatsapp,,,,0,api[- ]documen,52914259,7442MR,0641275811,
brandwebbing,brandwebbing.nl,geraden en bevestigd,Performance Marketeer (32-40 uur),,2026-09-09,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/performance-marketeer-32-40-uur-at-brandwebbing-4464980866,online marketeer webshop,ok,,,,,,,,1,,,3523 CL,030 888 4666,
Brandweer,brandweer.nl,geraden en bevestigd,Contentspecialist,,2026-09-20,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/contentspecialist-at-brandweer-4470251378,content specialist webshop,ok,,,,whatsapp,,,,0,,,1171 VG,,
Broekhuis,broekhuis.nl,geraden en bevestigd,Online Marketeer,,2026-07-15,Putten,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-at-broekhuis-groep-4439267068,online marketeer webshop,ok,,,,whatsapp,,ja,,0,onze dienstver,,,+31341751187,
C Teleport,cteleport.nl,geraden en bevestigd,Marketing Content Specialist,,2026-09-03,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/marketing-content-specialist-at-c-teleport-4461373339,content specialist webshop,ok,,,,,,,,0,,,,,
Capisoft,capisoft.nl,geraden en bevestigd,Performance &amp; Growth Marketing Trainee,,2026-08-26,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/performance-growth-marketing-trainee-at-capisoft-4459310025,online marketeer webshop,ok,,,2,chatgpt-bot,,,,1,,,,+31202101716,
Check Point Software,checkpoint.com,geraden en bevestigd,Customer Success Manager,ja,2026-09-21,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-check-point-software-4442515867,customer happiness,ok,,,18,chatgpt-bot,,,,0,,,0907 UK,1-866-488-6691,
Chefs in het Bos,chefsinhetbos.nl,geraden en bevestigd,Grafisch ontwerper / Creative designer,,2026-09-07,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/grafisch-ontwerper-creative-designer-at-chefs-in-het-bos-4464349543,content specialist webshop,ok,,,,,,,,0,api[- ]documen,,,,
Cleopatra Enterprise,cleopatraenterprise.com,geraden en bevestigd,Content Specialist,,2026-08-25,Zwijndrecht,1,nee,https://nl.linkedin.com/jobs/view/content-specialist-at-cleopatra-enterprise-4444103101,content specialist webshop,ok,,,,,,,,0,api[- ]documen,,3332 EX,+31882556000,
Cosmetique Totale BV,cosmetique-totale.com,geraden en bevestigd,Paid Marketeer (Meta &amp; Google Ads),,2026-09-21,Alphen aan den Rijn,1,nee,https://nl.linkedin.com/jobs/view/paid-marketeer-meta-google-ads-at-cosmetique-totale-bv-4469843865,online marketeer webshop,ok,,,5,,,,,0,,,,,
CowNect Media B.V.,cownectmedia.com,geraden en bevestigd,CONTENT CREATOR,,2026-08-05,Alkmaar,1,nee,https://nl.linkedin.com/jobs/view/content-creator-at-cownect-media-b-v-4448996366,content specialist webshop,ok,,,,,,,,0,,42072469,1812 PC,,
crossphase,crossphase-presenter.nl,geraden en bevestigd,AI-contentspecialist,,2026-09-14,Randstad,1,nee,https://nl.linkedin.com/jobs/view/ai-contentspecialist-at-crossphase-4455572943,content specialist webshop,ok,,,,,,,,0,,,2318 BZ,,
CroudX,croudx.com,geraden en bevestigd,Head of Growth,,2026-08-05,Amsterdam Area,4,nee,https://nl.linkedin.com/jobs/view/head-of-growth-at-croudx-4448985895,online marketeer webshop,ok,,,2,,,,,0,,,1018 VN,+31 (0)640259455,
DAB Pumps,dabpumps.nl,geraden en bevestigd,Product Owner E-Commerce,,2026-09-14,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/product-owner-e-commerce-at-dab-pumps-4467274563,webshop beheerder,ok,,,,,,,ja,0,,18132754,5223 LA,+31416387280,
DB Keukens,dbkeukens.nl,geraden en bevestigd,Online marketing specialist,,2026-05-05,Nunspeet,1,nee,https://nl.linkedin.com/jobs/view/online-marketing-specialist-at-db-keukengroep-4408453635,webshop beheerder,ok,,,,hubspot,,,,0,,,,0102004356,
De Monnik Dranken,monnik-dranken.nl,geraden en bevestigd,Magazijnmedewerker fulltime,,2026-05-20,Oldenzaal,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-fulltime-at-de-monnik-dranken-4417098209,logistiek medewerker webshop,ok,,,2,,,,ja,0,,,7575 EM,+31 0541 513 076,
De Verfzaak,deverfzaak.nl,geraden en bevestigd,Meewerkend voorman￼,,2026-08-05,Blerick,2,nee,https://nl.linkedin.com/jobs/view/meewerkend-voorman%EF%BF%BC-at-de-verfzaak-4447325212,orderverwerking,ok,,,1,trengo,kiyoh,,,0,,,,,
DeMarktwijzer,demarktwijzer.nl,geraden en bevestigd,Junior Accountmanager Online Marketing,,2026-09-09,Roermond,1,nee,https://nl.linkedin.com/jobs/view/junior-accountmanager-online-marketing-at-demarktwijzer-4465071039,online marketeer webshop,ok,,,,,,,,0,,,,0475 202 096,
Den Ouden,ww16.denouden.com,geraden en bevestigd,Medewerker Customer Service,ja,2026-09-07,Schijndel,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-service-at-den-ouden-groep-4464314677,klantenservice medewerker,geblokkeerd,,,,,,,,,,,,,
Detailrs,detailrs.nl,geraden en bevestigd,E-commerce &amp; UX Lead,,2026-08-31,Oss,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-ux-lead-at-detailrs-4434440735,online marketeer webshop,ok,shopify,87,3,,trustpilot|judgeme,ja,,2,,,,,
DFDS,dfds.com,geraden en bevestigd,Logistiek Medewerker,,2026-09-20,Europoort,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-at-dfds-4441622146,logistiek medewerker webshop,ok,,,,,,,,0,,,,,
DigiSwift,digiswift.nl,geraden en bevestigd,WEBSITEBOUWER,,2026-08-05,Arnhem,1,nee,https://nl.linkedin.com/jobs/view/websitebouwer-at-digiswift-4448945847,content specialist webshop,ok,,,2,,,,,0,api[- ]documen,96864141,6824BV,+31627408540,
DocMorris,docmorris.de,geraden en bevestigd,Logistics Employee (M/F/D),,2026-09-03,Heerlen,1,nee,https://nl.linkedin.com/jobs/view/logistics-employee-m-f-d-at-docmorris-4300875347,logistiek medewerker webshop,ok,,,,zendesk|chatgpt-bot,trustedshops,,,0,,14066093,6422 RA,,
DRIIVN,driivn.nl,geraden en bevestigd,Online Marketeer (FT),,2025-08-28,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-ft-at-driivn-4302306511,online marketeer webshop,ok,,,5,,,,,1,,67112757,1054 GJ,0202101343,
Dutch Jerky,dutchjerky.com,geraden en bevestigd,Customer &amp; Content Guru,,2026-09-18,Mierlo,1,nee,https://nl.linkedin.com/jobs/view/customer-content-guru-at-dutch-jerky-4467862824,content specialist webshop,ok,woocommerce,,,klaviyo-chat,trustpilot,ja,,3,,94108722,6981 DL,,
Duyvenvoorde,duyvenvoorde.nl,geraden en bevestigd,Logistiek Medewerker VDV Import,,2026-09-02,Naaldwijk,3,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-vdv-import-at-duyvenvoorde-4462180866,logistiek medewerker webshop,ok,,,,,,,,0,veiling,,2675 LN,+31 (0)88-018 34 0,
Electronic Logistics BV,electronic-logistics.nl,geraden en bevestigd,Magazijnmedewerker middag/avond,,2026-09-01,Zeewolde,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-middag-avond-at-electronic-logistics-bv-4461738565,logistiek medewerker webshop,ok,,,,,,,ja,1,,,3899 AV,+310365226604,
Energie VanOns,energie.vanons.org,geraden en bevestigd,Medewerker klantenservice,ja,2026-09-17,"Groningen, Nederland",1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-energie-vanons-4468636614,klantenservice medewerker,ok,,,,zendesk,trustpilot,,,0,,,,+31222760044,1.400
Eve Curls,evecurls.nl,geraden en bevestigd,COO Fast Growing DTC/CPG Brand,,2026-09-21,Nederland,1,nee,https://nl.linkedin.com/jobs/view/coo-fast-growing-dtc-cpg-brand-at-eve-curls-4469911975,webshop beheerder,ok,shopify,15,33,,trustpilot,ja,,2,,,,,
Firma Reinders B.V.,firmareinders.nl,geraden en bevestigd,Coördinator Online Veilingen Hardenberg | Fulltime |,,2026-07-22,Hardenberg,1,nee,https://nl.linkedin.com/jobs/view/co%C3%B6rdinator-online-veilingen-hardenberg-fulltime-at-firma-reinders-b-v-4443197710,webshop beheerder,ok,,,9,whatsapp,,,ja,0,veiling,92310923,7773 NR,+31615574639,
FITZ,fitz.nl,geraden en bevestigd,Digital Marketing Specialist | Uitstekend Nederlands vereist,,2026-08-31,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/digital-marketing-specialist-uitstekend-nederlands-vereist-at-fitz-4438616024,content specialist webshop,ok,,,,,,,,0,onze dienstver,30168921,3584 BB,088 205 4900,
FLÂNEUR,flneur.com,geraden en bevestigd,Operations Lead,,2026-07-06,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/operations-lead-at-fl%C3%A2neur-4437472534,webshop beheerder,ok,shopify,,,,,ja,,0,,,,,
Foot Locker,footlocker.nl,geraden en bevestigd,"Associate Manager, Copy",,2026-09-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/associate-manager-copy-at-foot-locker-4466689697,content specialist webshop,ok,,,,,,ja,,4,,,,,
Forbo Flooring Systems,forbo.com,geraden en bevestigd,Website Specialist,,2026-09-09,Assendelft,1,nee,https://nl.linkedin.com/jobs/view/website-specialist-at-forbo-flooring-systems-4465015139,webshop beheerder,ok,,,,,,,,0,,,,,
FuturumShop,futurumshop.nl,geraden en bevestigd,Magazijnmedewerker,,2026-09-11,Apeldoorn,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-futurumshop-4466066163,logistiek medewerker webshop,ok,,,,whatsapp,,,,4,veiling,08076249,7336 AL,0031555339833,
Gemeente Ede,gemeenteede.nl,geraden en bevestigd,Contentspecialist,,2026-09-22,Ede,1,nee,https://nl.linkedin.com/jobs/view/contentspecialist-at-gemeente-ede-4468591530,content specialist webshop,ok,,,,,,,,0,,,,,
GENUINE,genuine.com,geraden en bevestigd,Growth Manager TikTok Shop - Netherlands (m/f/d),,2026-09-04,Arnhem,1,nee,https://nl.linkedin.com/jobs/view/growth-manager-tiktok-shop-netherlands-m-f-d-at-genuine-4461147732,online marketeer webshop,ok,,,,,,,,0,,,,,
Glanbia,glanbia.com,geraden en bevestigd,eCommerce Manager,,2026-09-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/ecommerce-manager-at-glanbia-4461710019,webshop beheerder,ok,,,1,,,,,0,,,,+353 56 777 2200,
Go Dutch Label,go-dutch-label.nl,geraden en bevestigd,Buying &amp; Product Coordinator,,2026-09-22,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/buying-product-coordinator-at-go-dutch-label-4470287757,webshop beheerder,ok,,,,,,,,0,api[- ]documen,53887077,5222 AX,+31 (0)73 2020026,
Golazo Events NL,golazo.com,geraden en bevestigd,Medewerker Marketing &amp; Communicatie,,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/medewerker-marketing-communicatie-at-golazo-events-nl-4467716463,content specialist webshop,ok,,,,,,,,0,,,3011HT,,
Green Qube Services,greenqubeservices.com,geraden en bevestigd,Warehouse Associate,,2026-09-21,Drunen,1,nee,https://nl.linkedin.com/jobs/view/warehouse-associate-at-green-qube-services-4469910481,logistiek medewerker webshop,ok,,,,,,,,0,api[- ]documen,,5151 RP,,
Greener Power Solutions,greenerpowersolutions.com,geraden en bevestigd,Content Specialist,,2026-08-31,Amsterdam Area,2,nee,https://nl.linkedin.com/jobs/view/content-specialist-at-greener-power-solutions-4461084883,content specialist webshop,ok,,,9,hubspot,,,,0,api[- ]documen,70649472,1114 AB,+44 117 205 3000,
GreenV,greenv.com,geraden en bevestigd,Logistiek / Magazijn Medewerker | Fulltime | Wateringen,,2026-05-07,Wateringen,1,nee,https://nl.linkedin.com/jobs/view/logistiek-magazijn-medewerker-fulltime-wateringen-at-greenv-4420932423,logistiek medewerker webshop,ok,,,,,,,,0,,,1863DC,1800132237,
Greyt,greyt.nl,geraden en bevestigd,Digital (Content) Marketeer,,2026-09-02,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/digital-content-marketeer-at-greyt-4462180528,content specialist webshop,ok,,,,,,,,0,,55113559,3012 AG,0102579977,
Growth Team,growth-team.nl,geraden en bevestigd,Growth Marketeer Medior (32-40 uur),,2026-08-18,Lelystad,1,nee,https://nl.linkedin.com/jobs/view/growth-marketeer-medior-32-40-uur-at-growth-team-4455920796,content specialist webshop,ok,,,,,,,,0,api[- ]documen,76949656,3431KD,,
Handpicked,handpicked.com,geraden en bevestigd,Open sollicitatie - Handpicked,,2024-11-26,Eindhoven,2,nee,https://nl.linkedin.com/jobs/view/open-sollicitatie-handpicked-at-handpicked-4085645237,online marketeer webshop,ok,,,,,,,,0,,,3182CE,,
Happy Horizon,happyhorizon.com,geraden en bevestigd,Digital Project Manager,,2026-07-24,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/digital-project-manager-at-happy-horizon-4455749464,webshop beheerder,ok,,,3,hubspot,,,,0,,66371856,1114AK,0031880448020,
HB17 Werkt,hb17.nl,geraden en bevestigd,Online marketeer,,2026-09-03,Goes,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-at-hb17-werkt-4434817800,online marketeer webshop,ok,,,,whatsapp,,,,0,api[- ]documen|onze dienstver,,4461 AS,0113-296 310,
HelloFresh,hellofresh.nl,geraden en bevestigd,Junior Content Marketing specialist (f/m/x),,2026-09-16,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/junior-content-marketing-specialist-f-m-x-at-hellofresh-4468251961,content specialist webshop,ok,,,,hubspot,trustpilot,ja,,2,api[- ]documen,54601312,1114 AE,,
Hems B.V.,hems.nl,geraden en bevestigd,Meewerkend voorman/Orderpicker Expeditie nacht,,2026-07-20,Doetinchem,1,nee,https://nl.linkedin.com/jobs/view/meewerkend-voorman-orderpicker-expeditie-nacht-at-hems-b-v-4442557709,orderverwerking,ok,,,,,,,,0,,,5342 LK,0497681614,
HiBob,hibob.com,geraden en bevestigd,Dutch speaking Enterprise Customer Success Manager,ja,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/dutch-speaking-enterprise-customer-success-manager-at-hibob-4470298188,customer happiness,ok,,,7,,,,,0,,,,,
Hofweb,hofweb.nl,geraden en bevestigd,Coördinator Orderpick,ja,2026-09-11,Biddinghuizen,1,nee,https://nl.linkedin.com/jobs/view/co%C3%B6rdinator-orderpick-at-hofweb-4466048349,orderverwerking,ok,,,,intercom|chatgpt-bot,kiyoh,,,2,veiling,32134998,8256 PD,,
