bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
Just Russel,justrussel.nl,geraden en bevestigd,Customer support hero FR,2026-08-07,"Deinze, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-hero-fr-at-just-russel-4461723905,klantenservice medewerker
KONE,kone.nl,geraden en bevestigd,Customer Service &amp; Admin,2026-09-17,"Brussel, Brussels Hoofdstedelijk Gewest, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-admin-at-kone-4421814822,klantenservice medewerker
KSB Company,ksb.com:443,geraden en bevestigd,Customer Service Representative,2026-05-14,"Waver, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-ksb-company-4411515928,klantenservice medewerker
La Souris,lasouris.com,geraden en bevestigd,Customer Succes Medewerker Antwerpen,2026-09-04,"Antwerpen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-succes-medewerker-antwerpen-at-la-souris-4463371588,klantenservice medewerker
LIZY,lizy.nl,geraden en bevestigd,Customer Care Associate,2026-08-12,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-associate-at-lizy-4448018613,klantenservice medewerker
Medista NV,ww16.medista.com,geraden en bevestigd,Customer Service Coordinator,2026-08-05,"Zaventem, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-coordinator-at-medista-nv-4449423641,klantenservice medewerker
Mega,mega.nl,geraden en bevestigd,Customer Care Advisor,2026-07-26,"Leuven, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-advisor-at-mega-4456743356,klantenservice medewerker
Mobile Vikings,mobilevikings.be,geraden en bevestigd,Customer Care Agent,2026-09-14,"Hasselt, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-agent-at-mobile-vikings-4467055130,klantenservice medewerker
Modulaire Group,ww16.modulaire.com,geraden en bevestigd,Customer Service Officer/Belgium,2026-09-01,"Beringen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-belgium-at-modulaire-group-4461711763,klantenservice medewerker
Nodalview,nodalview.com,geraden en bevestigd,Customer Care &amp; Logistic Expert - French speaking,2026-09-14,"Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-logistic-expert-french-speaking-at-nodalview-4465204200,klantenservice medewerker
OVAL,oval.nl,geraden en bevestigd,Loyalty and Customer Support Officer,2026-08-14,"Antwerpen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/loyalty-and-customer-support-officer-at-oval-4451206920,klantenservice medewerker
Paynovate,paynovate.com,geraden en bevestigd,Customer Support Officer,2026-09-03,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-officer-at-paynovate-4462897429,klantenservice medewerker
PepperMill Casino,peppermill-casinos1.com,geraden en bevestigd,Medewerker klantenondersteuning,2026-09-01,"Oudsbergen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/medewerker-klantenondersteuning-at-peppermill-casino-4460344534,klantenservice medewerker
Play Media,robbertelshout.me,geraden en bevestigd,Customer Care Medewerker,2026-09-10,"Vilvoorde, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-medewerker-at-play-media-4456354266,klantenservice medewerker
Print.com,print.com,geraden en bevestigd,Customer Service Medewerker NL/FR,2026-09-10,"Grimbergen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-nl-fr-at-print-com-4465622048,klantenservice medewerker
Proximus Group,proximus.com,geraden en bevestigd,Customer Service Specialist,2026-08-26,"Antwerpen, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-specialist-at-proximus-group-4457931025,klantenservice medewerker
Qover,qover.com,geraden en bevestigd,Customer Care Professional (Dutch + English speaking),2026-09-16,Brussel en omgeving,3,nee,https://be.linkedin.com/jobs/view/customer-care-professional-dutch-%2B-english-speaking-at-qover-4468249178,klantenservice medewerker
Reno Energy,reno-energy.com,geraden en bevestigd,Collaborateur Service clientèle NL/FR,2026-02-24,"Luik, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/collaborateur-service-client%C3%A8le-nl-fr-at-reno-energy-4377129837,klantenservice medewerker
Sabert Corporation Europe,sabertcorporation.com,geraden en bevestigd,Customer Care Representative,2026-08-26,"Nijvel, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-representative-at-sabert-corporation-europe-4447290488,klantenservice medewerker
SEA-invest,sea-invest.com,geraden en bevestigd,Customer Service Medewerker,2026-09-14,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-sea-invest-4465750755,klantenservice medewerker
Securex,securex.nl,geraden en bevestigd,Customer Service Advisor District 29,2026-09-14,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-advisor-district-29-at-securex-4456887404,klantenservice medewerker
Sennheiser,sennheiser.com,geraden en bevestigd,Customer Support Specialist,2026-09-17,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-specialist-at-sennheiser-4463526083,klantenservice medewerker
Tarkett,tarkett.nl,geraden en bevestigd,Customer Service Officer,2026-09-17,"Dendermonde, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-officer-at-tarkett-4467547237,klantenservice medewerker
The Flex,theflex.nl,geraden en bevestigd,French-Speaking Customer Experience Specialist,2026-06-18,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/french-speaking-customer-experience-specialist-at-the-flex-4430765534,klantenservice medewerker
Thule Group,thule.com,geraden en bevestigd,Customer Service Medewerker,2026-09-09,"Menen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-thule-group-4463877712,klantenservice medewerker
Trouw Nutrition,trouwnutrition-benelux.com,geraden en bevestigd,Customer Service Representative,2026-09-04,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-trouw-nutrition-4462317320,klantenservice medewerker
TVH,tvh.com,geraden en bevestigd,Customer Care Advisor France,2026-09-03,"Waregem, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-advisor-france-at-tvh-4462782516,klantenservice medewerker
VAB,vab.nl,geraden en bevestigd,Customer Support Medewerker,2026-09-08,"Zwijndrecht, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-medewerker-at-vab-4463500108,klantenservice medewerker
Van Moer Logistics,vanmoer.com,geraden en bevestigd,Customer Service Officer,2026-09-01,"Beringen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-at-van-moer-logistics-4459504625,klantenservice medewerker
VELUX,velux.nl,geraden en bevestigd,Customer Service Advisor – VELUX Belgium,2026-09-17,"Waver, Wallonië, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-advisor-%E2%80%93-velux-belgium-at-velux-4468604708,klantenservice medewerker
Volvo Trucks,volvotrucks.nl,geraden en bevestigd,Customer Service Coordinator - Dutch + German,2026-09-06,"Gent, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-coordinator-dutch-%2B-german-at-volvo-trucks-4436752885,klantenservice medewerker
Zero Friction,zerofriction.com,geraden en bevestigd,Customer Service and Operations Agent NL &amp; FR,2026-07-23,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-and-operations-agent-nl-fr-at-zero-friction-4444438889,klantenservice medewerker
Alfabet,,domein niet gevonden,First Line Contact &amp; Reception Advisor (Telefonie &amp; Onthaal),2026-09-18,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/first-line-contact-reception-advisor-telefonie-onthaal-at-alfabet-4469167696,klantenservice medewerker
Argenta,,domein niet gevonden,Customer Care Expert Beleggen (dagshift),2026-09-15,"Antwerpen, Vlaanderen, België",4,nee,https://be.linkedin.com/jobs/view/customer-care-expert-beleggen-dagshift-at-argenta-4465538943,klantenservice medewerker
Artewalls,,domein niet gevonden,Customer service medewerker retail,2026-09-02,"Zonhoven, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-retail-at-artewalls-4449556505,klantenservice medewerker
Arthrex Belgium,,domein niet gevonden,Commerciële Medewerker Klantendienst,2026-09-18,"Kontich, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/commerci%C3%ABle-medewerker-klantendienst-at-arthrex-belgium-4469110942,klantenservice medewerker
Bank . Banque Van Breda,,domein niet gevonden,Client advisor - Brussel-Oost,2026-09-08,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/client-advisor-brussel-oost-at-bank-banque-van-breda-4464468912,klantenservice medewerker
Berner Belgien NV/SA,,domein niet gevonden,Employé Service Clientèle,2026-08-25,"Lanaken, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/employ%C3%A9-service-client%C3%A8le-at-berner-belgien-nv-sa-4435547594,klantenservice medewerker
Bingoal,,domein niet gevonden,Customer Service Agent NL,2026-09-02,"Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-agent-nl-at-bingoal-4462123190,klantenservice medewerker
BodyConstruct,,domein niet gevonden,Customer Service Medewerker,2026-09-14,"Antwerpen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-bodyconstruct-4465715532,klantenservice medewerker
Brewery St.Bernardus,,domein niet gevonden,Customer Service Officer - Voltijds,2026-08-07,"Watou, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-voltijds-at-brewery-st-bernardus-4450375009,klantenservice medewerker
BRUSSELS TRUCK CENTER,,domein niet gevonden,Customer service advisor IVECO,2026-09-21,"Dilbeek, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-advisor-iveco-at-brussels-truck-center-4469935328,klantenservice medewerker
BSH Home Appliances Group - Belgium - FR,,domein niet gevonden,"Contact Center Agent, Careline - bilingue FR/NL- FR",2026-09-17,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,,klantenservice medewerker
BSH Home Appliances Group - Belgium - NL,,domein niet gevonden,"Contact Center Agent, Careline - tweetalig NL/FR",2026-09-17,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,,klantenservice medewerker
Coffee Service Group,,domein niet gevonden,Customer Service Medewerker,2026-08-05,"Knokke-Heist, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-coffee-service-group-4449924200,klantenservice medewerker
Compagnie des Alpes,,domein niet gevonden,Customer Advisor NL &amp; EN - H/F,2026-09-14,"Aartselaar, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-advisor-nl-en-h-f-at-compagnie-des-alpes-4467200260,klantenservice medewerker
Conway - The Convenience Company België N.V.,,domein niet gevonden,Klantenservicemedewerker,2026-09-10,"Temse, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/klantenservicemedewerker-at-conway-the-convenience-company-belgi%C3%AB-n-v-4463484809,klantenservice medewerker
CWS Hygiene BeLux,,domein niet gevonden,Customer Care Medewerker,2026-09-10,"Diegem, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-care-medewerker-at-cws-hygiene-belux-4465690911,klantenservice medewerker
Dustin,,domein niet gevonden,Customer Service Representative,2026-09-08,"Rotselaar, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-dustin-4464660222,klantenservice medewerker
Ebro Foods Belgium,,domein niet gevonden,Customer Service officer,2026-08-03,"Schoten, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-at-ebro-foods-belgium-4460336353,klantenservice medewerker
Enterprise - Rent A Car Belgium,,domein niet gevonden,Medewerker Klantendienst - Customer service officer,2026-09-21,"Tongeren, Vlaanderen, België",7,nee,https://be.linkedin.com/jobs/view/medewerker-klantendienst-customer-service-officer-at-enterprise-rent-a-car-belgium-4469925305,klantenservice medewerker
Enwyse,,domein niet gevonden,Customer Service Support Specialist,2026-08-13,"Herentals, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-support-specialist-at-enwyse-4453673323,klantenservice medewerker
EPS - Euro Pool System,,domein niet gevonden,Customer Service Assistant,2026-09-09,"Sint-Katelijne-Waver, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-assistant-at-eps-euro-pool-system-4465025873,klantenservice medewerker
GAASCH PACKAGING,,domein niet gevonden,Klantenservicemedewerker,2026-09-12,"Asse, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/klantenservicemedewerker-at-gaasch-packaging-4466721407,klantenservice medewerker
Groupe TRAVELFACTORY,,domein niet gevonden,Customer Advisor NL &amp; EN,2026-09-14,"Aartselaar, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-advisor-nl-en-at-groupe-travelfactory-4465205908,klantenservice medewerker
HANOS Internationale Horeca Groothandel,,domein niet gevonden,Medewerker Customer Service,2026-09-01,"Willebroek, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/medewerker-customer-service-at-hanos-internationale-horeca-groothandel-4461746860,klantenservice medewerker
Hans Anders België - Hans Anders Belgique,,domein niet gevonden,Klantendienst Medewerker,2026-09-07,"Hasselt, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/klantendienst-medewerker-at-hans-anders-belgi%C3%AB-hans-anders-belgique-4468544649,klantenservice medewerker
HEK - Hanseatische Krankenkasse,,domein niet gevonden,Kundenberater Krankenversicherung / Kundenservice am Standort Kiel (m/w/d),2026-08-27,"Kiel, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/kundenberater-krankenversicherung-kundenservice-am-standort-kiel-m-w-d-at-hek-hanseatische-krankenkasse-4459876748,klantenservice medewerker
HG International,,domein niet gevonden,Customer Service Employee BE/FRA/LU,2026-09-16,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-employee-be-fra-lu-at-hg-international-4467973245,klantenservice medewerker
Isabel,,domein niet gevonden,Young Graduate : Customer Service Representative,2026-09-14,"Brussel, Brussels Hoofdstedelijk Gewest, België",2,nee,https://be.linkedin.com/jobs/view/young-graduate-customer-service-representative-at-isabel-4455864540,klantenservice medewerker
Katoen Natie,,domein niet gevonden,Customer Service Representative – logistiek (M/V),2026-09-12,"Gent, Vlaanderen, België",3,nee,https://be.linkedin.com/jobs/view/customer-service-representative-%E2%80%93-logistiek-m-v-at-katoen-natie-4309610443,klantenservice medewerker
Kebony,,domein niet gevonden,Customer Service Officer,2026-09-08,"Antwerpen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-at-kebony-4462501095,klantenservice medewerker
Keytrade Bank,,domein niet gevonden,Customer Support Officer,2026-09-08,"Watermaal-Bosvoorde, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-officer-at-keytrade-bank-4464479057,klantenservice medewerker
Kuehne+Nagel,,domein niet gevonden,Customer Service Specialist - Sea Freight Export,2026-09-09,"Antwerpen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-specialist-sea-freight-export-at-kuehne%2Bnagel-4465084184,klantenservice medewerker
LKQ Belgium,,domein niet gevonden,Customer Support Medewerker,2026-09-15,"Vilvoorde, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-medewerker-at-lkq-belgium-4467753195,klantenservice medewerker
Medipartner,,domein niet gevonden,Customer Service Specialist,2026-09-22,Brussel en omgeving,1,nee,https://be.linkedin.com/jobs/view/customer-service-specialist-at-medipartner-4468535491,klantenservice medewerker
Merck Life Science,,domein niet gevonden,Customer Service Specialist,2026-09-15,"Hoeilaart, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-specialist-at-merck-life-science-4465586990,klantenservice medewerker
Mercury Marine,,domein niet gevonden,Customer Service Representative,2026-09-04,"Petit-Rechain, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-mercury-marine-4463346825,klantenservice medewerker
Mountville,,domein niet gevonden,Customer Service Representative,2024-02-29,"Ronse, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-mountville-3840969712,klantenservice medewerker
MSC Mediterranean Shipping Company,,domein niet gevonden,Customer Care Executive - Export,2026-09-10,"Antwerpen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-executive-export-at-msc-mediterranean-shipping-company-4463421465,klantenservice medewerker
o2o Bicycle Leasing,,domein niet gevonden,Customer Support Expert,2026-08-11,"Vilvoorde, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-expert-at-o2o-bicycle-leasing-4453109396,klantenservice medewerker
orderBilly,,domein niet gevonden,Customer Support Specialist,2026-09-16,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-specialist-at-orderbilly-4466864395,klantenservice medewerker
PGS ULLU Paletten,,domein niet gevonden,Customer Service Officer (M/F/X),2026-08-10,"Gistel, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-m-f-x-at-pgs-ullu-paletten-4451535040,klantenservice medewerker
Purson,,domein niet gevonden,Customer Service Officer,2026-09-07,"Tessenderlo, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-officer-at-purson-4464350886,klantenservice medewerker
Q8,,domein niet gevonden,Customer Service Representative,2026-09-18,"Antwerpen, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-q8-4435482276,klantenservice medewerker
Qargo TMS,,domein niet gevonden,Customer Support Officer (BE),2026-09-04,"Gent, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-support-officer-be-at-qargo-tms-4461975157,klantenservice medewerker
Randstad Belgium,,domein niet gevonden,Customer Care Professional,2026-08-27,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-professional-at-randstad-belgium-4431664411,klantenservice medewerker
Scheldeland Verzekeringen,,domein niet gevonden,Customer Care - Heule,2026-07-11,"Heule, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-care-heule-at-scheldeland-verzekeringen-4439526106,klantenservice medewerker
SD Worx Professionals Belgium,,domein niet gevonden,Ervaren Customer Service Medewerker,2026-09-16,Gent en omgeving,3,nee,https://be.linkedin.com/jobs/view/ervaren-customer-service-medewerker-at-sd-worx-professionals-belgium-4466820900,klantenservice medewerker
Securitas Belgium,,domein niet gevonden,Client Care Officer,2026-09-02,"Machelen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/client-care-officer-at-securitas-belgium-4455623130,klantenservice medewerker
Spring Professional Belgium,,domein niet gevonden,Custmer Care FR/NL,2026-09-11,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/custmer-care-fr-nl-at-spring-professional-belgium-4466082341,klantenservice medewerker
Synergie Belgium,,domein niet gevonden,Customer Support Officer,2026-09-18,"Mechelen, Vlaanderen, België",3,nee,https://be.linkedin.com/jobs/view/customer-support-officer-at-synergie-belgium-4469170722,klantenservice medewerker
The Chemours Company,,domein niet gevonden,Customer Excellence Representative - International Customer Operations,2026-09-16,"Antwerpen, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-excellence-representative-international-customer-operations-at-the-chemours-company-4457333594,klantenservice medewerker
The Lemon Consulting,,domein niet gevonden,Klantenservicemedewerker,2026-08-19,"Antwerpen, Vlaanderen, België",10,nee,https://be.linkedin.com/jobs/view/klantenservicemedewerker-at-the-lemon-consulting-4455407764,klantenservice medewerker
TRIO Lighting Group,,domein niet gevonden,Customer Service Assistant (m/f/d) Belgium,2026-07-06,"Beveren, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-assistant-m-f-d-belgium-at-trio-lighting-group-4433998169,klantenservice medewerker
Unilin,,domein niet gevonden,Customer Service Assistant,2026-09-13,"Oostrozebeke, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-assistant-at-unilin-4359185889,klantenservice medewerker
Unique Belgium,,domein niet gevonden,Klantenservicemedewerker,2026-09-17,"Hamont-Achel, Vlaanderen, België",6,nee,https://be.linkedin.com/jobs/view/klantenservicemedewerker-at-unique-belgium-4468638927,klantenservice medewerker
Univar Solutions,,domein niet gevonden,Customer Service Representative,2026-09-17,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-univar-solutions-4450286269,klantenservice medewerker
Vandemoortele,,domein niet gevonden,Customer Care Agent Retail,2026-09-21,"Gent, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-care-agent-retail-at-vandemoortele-4469872194,klantenservice medewerker
Vanheede Environment Group,,domein niet gevonden,Gestionnaire de commandes &amp; service clients – FR/NL H/F/X,2026-09-14,"Nijvel, Wallonië, België",1,nee,https://be.linkedin.com/jobs/view/gestionnaire-de-commandes-service-clients-%E2%80%93-fr-nl-h-f-x-at-vanheede-environment-group-4465780803,klantenservice medewerker
