bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
Hart Beach,hartbeach.nl,geraden en bevestigd,Website &amp; Webshop Beheerder,2026-09-19,'s-Gravenhage,1,nee,https://nl.linkedin.com/jobs/view/website-webshop-beheerder-at-hart-beach-4469525581,webcare medewerker
Haselhoff Groep,haselhoff.nl,geraden en bevestigd,ICT Supportdesk Medewerker 1e en 2e lijns,2026-07-27,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/ict-supportdesk-medewerker-1e-en-2e-lijns-at-haselhoff-groep-4428635483,webcare medewerker
HAVI,havi.com,geraden en bevestigd,Customer Service medewerker,2026-09-10,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-havi-4428890417,klantenservice medewerker
Haystack People,haystackpeople.nl,geraden en bevestigd,Customer Succes Manager (SaaS/AI),2026-09-14,Nijmegen,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-manager-saas-ai-at-haystack-people-4465786674,customer happiness
HealthConnected (NL),healthconnected.nl,geraden en bevestigd,Customer Succes Specialist,2026-09-11,Alkmaar,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-specialist-at-healthconnected-nl-4466090452,customer happiness
Hedin Automotive NL,hedinautomotive.nl,geraden en bevestigd,"Medewerker Klantcontact Kia, Fiat, Opel, Jeep en Alfa Romeo",2026-07-29,Wormerveer,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantcontact-kia-fiat-opel-jeep-en-alfa-romeo-at-hedin-automotive-nl-4446078433,klantenservice medewerker
Hemubo,hemubo.nl,geraden en bevestigd,Support medewerker ICT,2026-09-17,Almere,1,nee,https://nl.linkedin.com/jobs/view/support-medewerker-ict-at-hemubo-4457974171,webcare medewerker
Herbalife,herbalife.com,geraden en bevestigd,Customer Service Representative with English and Dutch - Netherlands and Belgium,2026-09-04,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-with-english-and-dutch-netherlands-and-belgium-at-herbalife-4434132710,klantenservice medewerker
Het Notarieel,hetnotarieel.nl,geraden en bevestigd,Frontoffice medewerker,2026-08-31,Zwolle,1,nee,https://nl.linkedin.com/jobs/view/frontoffice-medewerker-at-het-notarieel-4461094787,webcare medewerker
HiBob,hibob.com,geraden en bevestigd,Dutch speaking Enterprise Customer Success Manager,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/dutch-speaking-enterprise-customer-success-manager-at-hibob-4470298188,customer happiness
Holmen,holmen.com,geraden en bevestigd,Customer Service employee DACH,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-dach-at-holmen-4458134943,klantenservice medewerker
Hostnet,hostnet.nl,geraden en bevestigd,Customer Success Representative,2026-09-17,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-representative-at-hostnet-bv-4456027234,customer happiness
Hotelprofessionals,hotelprofessionals.nl,geraden en bevestigd,Medewerker Bediening Fulltime,2026-08-31,Amsterdam,9,nee,https://nl.linkedin.com/jobs/view/medewerker-bediening-fulltime-at-hotelprofessionals-4460007210,webcare medewerker
HousApp,housapp.com,geraden en bevestigd,Customer Success Manager,2026-06-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-housapp-4421803765,customer happiness
Houthoff,houthoff.com,geraden en bevestigd,Marketing- &amp; Communicatiemedewerker,2026-09-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/marketing-communicatiemedewerker-at-houthoff-4461708868,webcare medewerker
"Hunter Douglas, Inc.",hunterdouglasarchitectural.eu,geraden en bevestigd,Customer Service Representative,2026-09-17,Boxtel,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-hunter-douglas-inc-4439193599,klantenservice medewerker
Icetubs,icetubs.com,geraden en bevestigd,Webflow &amp; Shopify Developer,2026-07-13,Amsterdam-West,1,nee,https://nl.linkedin.com/jobs/view/webflow-shopify-developer-at-icetubs-4440044522,webcare medewerker
IGO Promo NL,igopromo.nl,geraden en bevestigd,Customer Service Medewerker,2026-06-04,Helmond,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-igo-promo-4393526741,klantenservice medewerker
Incision,incision.nl,geraden en bevestigd,Customer Success Manager – Benelux,2026-09-14,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-%E2%80%93-benelux-at-incision-4438340131,customer happiness
Inktweb.nl,inktweb.nl,geraden en bevestigd,Customer Support,2026-08-07,Alkmaar,3,nee,https://nl.linkedin.com/jobs/view/customer-support-at-inktweb-nl-4450703072,klantenservice medewerker
InShared,inshared.nl,geraden en bevestigd,Web Analytics Specialist,2026-07-27,Leusden,1,nee,https://nl.linkedin.com/jobs/view/web-analytics-specialist-at-inshared-4445943002,webcare medewerker
Insify,insify.nl,geraden en bevestigd,Customer Support Specialist,2026-09-14,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-insify-4371506602,klantenservice medewerker
Intergamma,intergamma.nl,geraden en bevestigd,Frontend ontwikkelaar,2026-08-24,Leusden,1,nee,https://nl.linkedin.com/jobs/view/frontend-ontwikkelaar-at-intergamma-4419813509,webcare medewerker
Intralox,intralox.com,geraden en bevestigd,Customer Service Account Representative - Danish speaking,2026-09-21,Hoofddorp,3,nee,https://nl.linkedin.com/jobs/view/customer-service-account-representative-danish-speaking-at-intralox-4463385139,customer happiness
Invorderingsbedrijf,invorderingsbedrijf.nl,geraden en bevestigd,Klantenservice Medewerker,2026-07-13,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-invorderingsbedrijf-4440044391,klantenservice medewerker
iSpeedToLead,ispeedtolead.com,geraden en bevestigd,Customer Success Manager,2026-09-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-ispeedtolead-4462031875,customer happiness
ista Nederland,ista.com,geraden en bevestigd,Klantenservicemedewerker,2026-09-16,Schiedam,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-at-ista-nederland-b-v-4468276179,klantenservice medewerker
IT-Wizzard,itwizzard.com,geraden en bevestigd,Eerstelijns support medewerker ICT,2026-09-15,Harlingen,1,nee,https://nl.linkedin.com/jobs/view/eerstelijns-support-medewerker-ict-at-it-wizzard-4467471105,webcare medewerker
JD.COM,global.jd.com,geraden en bevestigd,Customer Service Specialist,2026-09-22,Rotterdam and The Hague,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-jd-com-4414673937,klantenservice medewerker
Jobgether,jobgether.com,geraden en bevestigd,Customer Care Poker Specialist,2026-09-22,Nederland,5,nee,https://nl.linkedin.com/jobs/view/customer-care-poker-specialist-at-jobgether-4468543207,customer happiness
Joerns Healthcare bv,joerns.nl,geraden en bevestigd,Klantadviseur Zorghulpmiddelen,2026-09-11,Houten,2,nee,https://nl.linkedin.com/jobs/view/klantadviseur-zorghulpmiddelen-at-joerns-healthcare-bv-4466071775,klantenservice medewerker
Johnson Controls,johnsoncontrols.nl,geraden en bevestigd,Customer Service Employee,2026-09-12,Enschede,1,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-at-johnson-controls-4464268348,klantenservice medewerker
JouwWeb,jouwweb.nl,geraden en bevestigd,Customer Support Employee - Evening Shifts,2026-09-18,Eindhoven,2,nee,https://nl.linkedin.com/jobs/view/customer-support-employee-evening-shifts-at-jouwweb-4469189594,webcare medewerker
JR286,jr286.com,geraden en bevestigd,Customer Service Representative (International Sales),2026-09-08,Hilversum,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-international-sales-at-jr286-4458671910,klantenservice medewerker
Justus People,justuspeople.nl,geraden en bevestigd,Customer Care Representative,2026-09-14,Badhoevedorp,1,nee,https://nl.linkedin.com/jobs/view/customer-care-representative-at-justus-people-4466129270,klantenservice medewerker
Kaliber,kaliber.nl,geraden en bevestigd,Conversion &amp; Growth Specialist,2026-09-22,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/conversion-growth-specialist-at-kaliber-4470404906,webcare medewerker
KernGezond,kerngezond.nl,geraden en bevestigd,Vacature: Front Office Medewerk(st)er Lelystad – 16u (waarneming),2026-09-03,Lelystad,1,nee,https://nl.linkedin.com/jobs/view/vacature-front-office-medewerk-st-er-lelystad-%E2%80%93-16u-waarneming-at-kerngezond-4460749394,webcare medewerker
Keter,keter.com,geraden en bevestigd,Specialist eCommerce,2026-08-24,Rijen,1,nee,https://nl.linkedin.com/jobs/view/specialist-ecommerce-at-keter-4456862711,webcare medewerker
Keywords Studios,keywordsstudios.com,geraden en bevestigd,Customer Success Manager - Video Games - Remote,2026-07-31,Nederland,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-video-games-remote-at-keywords-studios-4447524776,customer happiness
Knivesandtools,knivesandtools.nl,geraden en bevestigd,Klantenservice medewerker e-commerce Apeldoorn (32-40 uur),2026-07-17,Apeldoorn,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-e-commerce-apeldoorn-32-40-uur-at-knivesandtools-4441984192,klantenservice medewerker
KONE,kone.nl,geraden en bevestigd,Customer Service Agent (KDB),2026-09-02,Arnhem,1,nee,https://nl.linkedin.com/jobs/view/customer-service-agent-kdb-at-kone-4434478590,klantenservice medewerker
Kwantum,kwantum.nl,geraden en bevestigd,E commerce Specialist - Merchandising &amp; Content,2026-08-18,Geertruidenberg,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-merchandising-content-at-kwantum-4454181057,webcare medewerker
La Souris,lasouris.com,geraden en bevestigd,Customer Succes Medewerker,2026-06-01,Doetinchem,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-medewerker-at-la-souris-4421659410,customer happiness
Leen Bakker,leenbakker.nl,geraden en bevestigd,E commerce Specialist - Merchandising &amp; Content,2026-08-18,Geertruidenberg,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-merchandising-content-at-leen-bakker-4454170846,webcare medewerker
Lekkerland Nederland B.V.,lekkerland.nl,geraden en bevestigd,Webanalist,2026-09-18,Son en Breugel,1,nee,https://nl.linkedin.com/jobs/view/webanalist-at-lekkerland-nederland-b-v-4469128135,webcare medewerker
Lucid Motors,lucidmotors.com:443,geraden en bevestigd,Customer Care Representative – German Speaking,2026-07-13,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-care-representative-%E2%80%93-german-speaking-at-lucid-motors-4439415412,klantenservice medewerker
Lucid Software,lucid-software.com,geraden en bevestigd,"EMEA Customer Success Manager, Nordic Speaker",2026-09-14,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/emea-customer-success-manager-nordic-speaker-at-lucid-software-4467251933,customer happiness
Maas-De Koning,maasdekoning.nl,geraden en bevestigd,Medewerker KCC – Telefonie,2026-09-14,Moordrecht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-kcc-%E2%80%93-telefonie-at-maas-de-koning-4467091310,klantenservice medewerker
Magnet.me,magnet.me,geraden en bevestigd,Customer Success Manager,2026-09-08,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-magnet-me-4464481159,customer happiness
MANN+HUMMEL,mann-hummel.com,geraden en bevestigd,S&amp;M IAM Customer Service,2026-06-23,Nieuwegein,1,nee,https://nl.linkedin.com/jobs/view/s-m-iam-customer-service-at-mann%2Bhummel-4430433324,klantenservice medewerker
Marente,marente.nl,geraden en bevestigd,Helpende (plus) + verzorgende IG flexpool in Sassenheim,2026-06-26,Sassenheim,1,nee,https://nl.linkedin.com/jobs/view/helpende-plus-%2B-verzorgende-ig-flexpool-in-sassenheim-at-marente-4433894426,webcare medewerker
Marie-Stella-Maris (B Corp),mariestellamaris.nl,geraden en bevestigd,E-commerce Specialist,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-specialist-at-marie-stella-maris-b-corp-4465099318,webcare medewerker
Matt Sleeps,mattsleeps.com,geraden en bevestigd,E-commerce &amp; CRO specialist,2026-05-29,Amsterdam,1,ja,https://nl.linkedin.com/jobs/view/e-commerce-cro-specialist-at-matt-sleeps-4420925045,webcare medewerker
MCI,mci.com,geraden en bevestigd,Remote Customer Service Agent,2025-10-31,Middelburg,5,nee,https://nl.linkedin.com/jobs/view/remote-customer-service-agent-at-mci-4331761143,klantenservice medewerker
MediaMarkt Benelux,mediamarkt.nl,geraden en bevestigd,Customer Care Specialist Marketplace,2026-09-17,Rotterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-marketplace-at-mediamarkt-benelux-4448057233,klantenservice medewerker
Medipoint,medipoint.nl,geraden en bevestigd,Productiemedewerker reiniging,2026-06-12,Helmond,1,nee,https://nl.linkedin.com/jobs/view/productiemedewerker-reiniging-at-medipoint-4427942440,webcare medewerker
Medtronic,medtronic.com,geraden en bevestigd,Customer Care Representative – Service &amp; Repair - English Speaker,2026-09-09,Heerlen,4,nee,https://nl.linkedin.com/jobs/view/customer-care-representative-%E2%80%93-service-repair-english-speaker-at-medtronic-4464665528,klantenservice medewerker
Meltwater,meltwater.com,geraden en bevestigd,Customer Success Manager,2026-09-01,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-meltwater-4460672135,customer happiness
Mendix,mendix.com,geraden en bevestigd,Junior Front-end Developer,2026-09-16,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/junior-front-end-developer-at-mendix-4456943543,webcare medewerker
Mercell,info.mercell.com,geraden en bevestigd,Join our Customer Service teams!,2026-07-04,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/join-our-customer-service-teams%21-at-mercell-4435706727,klantenservice medewerker
Merz Therapeutics,merztherapeutics.com,geraden en bevestigd,Junior Brand &amp; Digital Manager,2026-09-04,Terheijden,1,nee,https://nl.linkedin.com/jobs/view/junior-brand-digital-manager-at-merz-therapeutics-4440753053,webcare medewerker
Mijndomein,mijndomein.nl,geraden en bevestigd,Customer Success Specialist,2026-08-31,Almere,1,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-at-mijndomein-4461083661,webcare medewerker
Mila Health,milahealth.com,geraden en bevestigd,Customer success lead,2026-07-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-lead-at-mila-health-4441009278,customer happiness
Mollie,mollie.com,geraden en bevestigd,Customer Success Manager - Benelux,2026-09-21,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-at-mollie-4469895606,customer happiness
Momo Medical,momomedical.nl,geraden en bevestigd,Customer Support Specialist,2026-09-11,Delft,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-momo-medical-4464862454,klantenservice medewerker
MoreCareClinics,morecareclinics.nl,geraden en bevestigd,SEO &amp; AI Search Marketeer,2026-09-10,Randstad,1,nee,https://nl.linkedin.com/jobs/view/seo-ai-search-marketeer-at-morecareclinics-4463875820,webcare medewerker
Morgan Stanley,morganstanley.com,geraden en bevestigd,Investment Management - EMEA Client Relationship Management - Vice President,2026-09-09,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/investment-management-emea-client-relationship-management-vice-president-at-morgan-stanley-4463832383,customer happiness
MostWare | Inspireren met IT,mostware.nl,geraden en bevestigd,IT Servicedesk Medewerker,2026-08-26,Leiden,1,nee,https://nl.linkedin.com/jobs/view/it-servicedesk-medewerker-at-mostware-4459179252,webcare medewerker
MPM International Oil Company B.V.,mpmoil.nl,geraden en bevestigd,Customer Service Representative,2026-08-31,Delft,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-at-mpm-international-oil-company-b-v-4461052787,klantenservice medewerker
MultiTankcard,mtc.nl,geraden en bevestigd,Customer Service Specialist,2026-06-18,Schiphol-Rijk,1,nee,https://nl.linkedin.com/jobs/view/customer-service-specialist-at-multitankcard-4439777523,klantenservice medewerker
myTomorrows,mytomorrows.com,geraden en bevestigd,Full Stack Engineer,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/full-stack-engineer-at-mytomorrows-4469909379,webcare medewerker
NCR Voyix,ncrvoyix.com,geraden en bevestigd,Customer Success Manager - Amsterdam,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-amsterdam-at-ncr-voyix-4401623072,customer happiness
Nedap,nedap.com,geraden en bevestigd,Junior/Medior Full-Stack Ruby Developer .,2026-08-17,Groenlo,2,nee,https://nl.linkedin.com/jobs/view/junior-medior-full-stack-ruby-developer-at-nedap-4452413236,webcare medewerker
Netpoint group,netpoint.nl,geraden en bevestigd,(Ervaren) Web Developer - Waalwijk,2026-07-17,Waalwijk,1,nee,https://nl.linkedin.com/jobs/view/ervaren-web-developer-waalwijk-at-netpoint-group-4442179400,webcare medewerker
NieuweStroom,nieuwestroom.nl,geraden en bevestigd,Medewerker Customer Operations,2026-09-17,Maastricht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-operations-at-nieuwestroom-4468605295,klantenservice medewerker
Nilfisk,nilfisk-shop.nl,geraden en bevestigd,Customer Service Employee,2026-09-05,Almere,1,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-at-nilfisk-4463724526,klantenservice medewerker
NORNORM,nornorm.com,geraden en bevestigd,Customer Success Coordinator,2026-08-28,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-coordinator-at-nornorm-4460356148,customer happiness
Notuly.,notuly.nl,geraden en bevestigd,Customer succes &amp; support medewerker,2026-08-26,Deventer,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-support-medewerker-at-notuly-4459189122,customer happiness
Nutanix,nutanix.com,geraden en bevestigd,"Senior Staff Customer Experience Manager, Dutch speaker",2026-09-09,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/senior-staff-customer-experience-manager-dutch-speaker-at-nutanix-4461295968,customer happiness
Octiva,octiva.tech,geraden en bevestigd,Head of Customer Success,2026-05-04,Breda,2,nee,https://nl.linkedin.com/jobs/view/head-of-customer-success-at-octiva-4420942347,customer happiness
OH Solutions,oh-solutions.nl,geraden en bevestigd,Customer Experience Specialist,2026-09-11,Almere,1,nee,https://nl.linkedin.com/jobs/view/customer-experience-specialist-at-oh-solutions-4440950989,customer happiness
Olyslager,olyslager.nl,geraden en bevestigd,Customer Success Manager,2026-09-18,Bunschoten-Spakenburg,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-olyslager-4430926312,customer happiness
Onlineverf.nl,onlineverf.nl,geraden en bevestigd,Medewerker klantenservice,2026-09-11,Hengelo,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-onlineverf-nl-4466058358,klantenservice medewerker
OPENRED,openred.nl,geraden en bevestigd,Customer Succes Lead,2026-08-13,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-lead-at-openred-4453604681,customer happiness
OrbusNeich Medical Company Ltd.,orbusneich.com,geraden en bevestigd,Customer Relations Coordinator,2026-09-22,Hoevelaken,1,nee,https://nl.linkedin.com/jobs/view/customer-relations-coordinator-at-orbusneich-medical-company-ltd-4470286316,customer happiness
Oxford Global Resources,oxfordglobal.com,geraden en bevestigd,"Klantenservice Medewerker - Frans, Nederlands, Engels",2026-08-31,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-frans-nederlands-engels-at-oxford-global-resources-4459792285,klantenservice medewerker
Palo Alto Networks,paloaltonetworks.com,geraden en bevestigd,Staff Customer Success Engineer,2026-09-18,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/staff-customer-success-engineer-at-palo-alto-networks-4466683134,customer happiness
Pensify,pensify.com,geraden en bevestigd,Customer Success Manager,2026-09-10,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-pensify-4465684096,customer happiness
Permobil,permobil.com,geraden en bevestigd,Customer Support Representative,2026-09-06,Oisterwijk,1,nee,https://nl.linkedin.com/jobs/view/customer-support-representative-at-permobil-4400388875,klantenservice medewerker
PGGM,pggm.nl,geraden en bevestigd,Klantcontact medewerker klantcontact BPF Schilders,2026-09-17,Zeist,1,nee,https://nl.linkedin.com/jobs/view/klantcontact-medewerker-klantcontact-bpf-schilders-at-pggm-4468602316,klantenservice medewerker
PharmaPartners,pharmapartners.nl,geraden en bevestigd,Customer Care Specialist,2026-09-19,Oosterhout,1,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-pharmapartners-4455856177,klantenservice medewerker
PinkRoccade Local Government,pinkroccadelocalgovernment.nl,geraden en bevestigd,Manager Customer Care Samenlevingszaken (lid MT),2026-09-21,s-Hertogenbosch Area,1,nee,https://nl.linkedin.com/jobs/view/manager-customer-care-samenlevingszaken-lid-mt-at-pinkroccade-local-government-4468750854,customer happiness
Plieger,plieger.nl,geraden en bevestigd,IT Support Medewerker,2026-06-17,Zaltbommel,1,nee,https://nl.linkedin.com/jobs/view/it-support-medewerker-at-plieger-4426882717,webcare medewerker
Pluripharm Groep,pluripharm.com,geraden en bevestigd,Medewerker Customer Services,2026-09-13,Alkmaar,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-services-at-pluripharm-groep-4439035928,klantenservice medewerker
Pluvo,pluvo.com,geraden en bevestigd,Customer Success Manager,2026-09-11,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-pluvo-4466060567,customer happiness
Prada,prada.com,geraden en bevestigd,"PRADA Client Advisor MRTW (m/f/d), De Bijenkorf",2026-09-18,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/prada-client-advisor-mrtw-m-f-d-de-bijenkorf-at-prada-4467886289,customer happiness
Print.com,print.com,geraden en bevestigd,After Sales Specialist - Klantrelatie &amp; Complaints,2026-09-10,Deventer,3,nee,https://nl.linkedin.com/jobs/view/after-sales-specialist-klantrelatie-complaints-at-print-com-4465607153,customer happiness
project44,project44.com,geraden en bevestigd,Customer Success Manager,2026-09-15,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-project44-4465266062,customer happiness
Property Plan,propertyplan.com,geraden en bevestigd,Front-end Developer,2026-09-10,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/front-end-developer-at-property-plan-4463437958,webcare medewerker
Proprli,proprli.com,geraden en bevestigd,Customer Support Professional at team Proprli (NL),2026-07-17,Heerde,1,nee,https://nl.linkedin.com/jobs/view/customer-support-professional%0Aat-team-proprli-nl-at-proprli-4441325540,customer happiness
Proxsys,proxsys.nl,geraden en bevestigd,Skilled Servicedesk Medewerker,2026-06-18,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/skilled-servicedesk-medewerker-at-proxsys-4439773635,webcare medewerker
PS Calamiteiten,pscalamiteiten.nl,geraden en bevestigd,Medewerker Calamiteiten,2026-06-03,Almere,1,nee,https://nl.linkedin.com/jobs/view/medewerker-calamiteiten-at-ps-calamiteiten-4422942508,webcare medewerker
PSI CRO,psi-cro.com,geraden en bevestigd,Site Management Associate,2026-09-15,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/site-management-associate-at-psi-cro-4465542548,webcare medewerker
Quatt,quatt.io,geraden en bevestigd,Customer Success Manager - Installations,2026-09-08,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-installations-at-quatt-4462418926,customer happiness
Quooker,quooker.nl,geraden en bevestigd,Information Technology Support Specialist,2026-09-16,Ridderkerk,1,nee,https://nl.linkedin.com/jobs/view/information-technology-support-specialist-at-quooker-4455729021,webcare medewerker
Redcare Pharmacy,redcarepharmacy.com,geraden en bevestigd,Magazijnmedewerker (m/v/x) Fulltime in Sevenum,2026-09-18,Sevenum,2,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-m-v-x-fulltime-in-sevenum-at-redcare-pharmacy-4466672636,webcare medewerker
RedCarpet®,redcarpet.com,geraden en bevestigd,Klantenservicemedewerker met ervaring,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-met-ervaring-at-redcarpet%C2%AE-4470290922,klantenservice medewerker
Richemont,richemont.com,geraden en bevestigd,E-Boutique Client Advisor French Speaking,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/e-boutique-client-advisor-french-speaking-at-richemont-4467886933,customer happiness
Ricoh Nederland,ricoh.nl,geraden en bevestigd,Key Account Customer Service Agent | Den Bosch | Hybrid,2026-07-29,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/key-account-customer-service-agent-den-bosch-hybrid-at-ricoh-nederland-4444962081,klantenservice medewerker
Roadsoft,roadsoft.com,geraden en bevestigd,Customer Success Specialist (Onboarding &amp; Support),2026-09-17,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-specialist-onboarding-support-at-roadsoft-4468663286,customer happiness
ROCKWOOL Group,rockwool.com,geraden en bevestigd,Customer Services Employee,2026-09-14,Roermond,2,nee,https://nl.linkedin.com/jobs/view/customer-services-employee-at-rockwool-group-4467030929,klantenservice medewerker
Royal A-ware,royal-aware.com,geraden en bevestigd,Medewerker Customer Care,2026-09-07,Almere,1,nee,https://nl.linkedin.com/jobs/view/medewerker-customer-care-at-royal-a-ware-4425632190,klantenservice medewerker
RVS Clean,rvs-clean.nl,geraden en bevestigd,Cleanroom medewerker,2026-05-23,Bergeyk,1,nee,https://nl.linkedin.com/jobs/view/cleanroom-medewerker-at-rvs-clean-4429783675,webcare medewerker
Salute,salute.nl,geraden en bevestigd,Data Centre NOC Operator,2026-08-07,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/data-centre-noc-operator-at-salute-4460250542,webcare medewerker
Saxo Bank,home.saxo,geraden en bevestigd,Client Service Associate (French + Dutch Speaking),2026-09-12,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/client-service-associate-french-%2B-dutch-speaking-at-saxo-bank-4036618828,customer happiness
Secure Design Webdevelopment,securedesign.nl,geraden en bevestigd,"Vacature front-end developer (mbo / hbo, Leiden, 32-40 uur)",2026-07-09,Leiden,3,nee,https://nl.linkedin.com/jobs/view/vacature-front-end-developer-mbo-hbo-leiden-32-40-uur-at-secure-design-webdevelopment-4448391541,webcare medewerker
Sedgwick,sedgwick.com,geraden en bevestigd,Administratief Medewerker,2026-09-03,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/administratief-medewerker-at-sedgwick-4256918853,webcare medewerker
Select Courier International B.V.,selectcourier.com,geraden en bevestigd,CUSTOMER SERVICE,2026-07-21,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-at-select-courier-international-b-v-4442661805,klantenservice medewerker
Sendcloud,sendcloud.com,geraden en bevestigd,Customer Support Consultant - Benelux,2026-08-31,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/customer-support-consultant-benelux-at-sendcloud-4460023105,klantenservice medewerker
Sense Company,sense-company.com,geraden en bevestigd,Customer Care Specialist,2026-09-16,Tilburg,1,nee,https://nl.linkedin.com/jobs/view/customer-care-specialist-at-sense-company-4467079261,customer happiness
Shoppartners B.V.,shoppartners.nl,geraden en bevestigd,Junior Content medewerker - 32 tot 40 uur per week,2026-09-11,Heerhugowaard,2,nee,https://nl.linkedin.com/jobs/view/junior-content-medewerker-32-tot-40-uur-per-week-at-shoppartners-b-v-4465148462,webcare medewerker
Simac,simac.com,geraden en bevestigd,Customer Experience Manager Healthcare (regio Den Haag/Rotterdam),2026-02-27,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/customer-experience-manager-healthcare-regio-den-haag-rotterdam-at-simac-4377933710,customer happiness
Simvia,simvia.com,geraden en bevestigd,Customer Success Manager - Benelux - Growing Impact Scale Up,2026-09-21,Amsterdam,3,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-benelux-growing-impact-scale-up-at-simvia-4469842764,customer happiness
