bedrijf,domein,domein_bron,functie,is_cs,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm
Eastman,eastman.com,geraden en bevestigd,Customer Service Representative - Chemical Intermediates - German speaker,ja,2026-09-19,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-chemical-intermediates-german-speaker-at-eastman-4440254476,customer service
ECCO Products,ecco-products.com,geraden en bevestigd,Customer Hero,,2026-08-28,"Oost-Vlaanderen, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-hero-at-ecco-products-4458075324,klantenservice medewerker
Economy,economy.nl,geraden en bevestigd,Online marketeer in Delft,,2026-06-06,Delft,2,nee,https://nl.linkedin.com/jobs/view/online-marketeer-in-delft-at-economy-4432302999,e-commerce medewerker
Eddy Grid,eddygrid.com,geraden en bevestigd,Customer Success Manager - Customer Relations,ja,2026-09-22,"Utrecht, Nederland",2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-customer-relations-at-eddy-grid-4470261983,customer happiness
EerstelijnsZorg Zoetermeer,eerstelijnszorgzoetermeer.nl,geraden en bevestigd,Servicedeskmedewerker ICT &amp; Facilitaire Dienstverlening (fulltime),ja,2026-08-24,Zoetermeer,1,nee,https://nl.linkedin.com/jobs/view/servicedeskmedewerker-ict-facilitaire-dienstverlening-fulltime-at-eerstelijnszorg-zoetermeer-4455842587,webcare medewerker
Effectory,effectory.com,geraden en bevestigd,Customer Success Manager - Public sector,ja,2026-09-15,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-public-sector-at-effectory-4467761203,customer happiness
Electronic Logistics BV,electronic-logistics.nl,geraden en bevestigd,Magazijnmedewerker middag/avond,,2026-09-01,Zeewolde,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-middag-avond-at-electronic-logistics-bv-4461738565,logistiek medewerker webshop
Elektramat B.V.,elektramat.nl,geraden en bevestigd,Klantenservice Medewerker,ja,2026-01-22,Almelo,4,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-at-elektramat-b-v-4365287273,e-commerce medewerker
Elektrobode B.V.,elektrobode.nl,geraden en bevestigd,Medewerker klantenservice,ja,2026-09-08,Assen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-elektrobode-b-v-4464322167,klantenservice medewerker
Elektrototaalmarkt,elektrototaalmarkt.nl,geraden en bevestigd,Klantenservicemedewerker,ja,2026-09-09,Nistelrode,1,nee,https://nl.linkedin.com/jobs/view/klantenservicemedewerker-at-elektrototaalmarkt-nl-4464498258,support medewerker webshop
Element Logic®,elementlogic.net,geraden en bevestigd,Global Head of Customer Programs,,2026-09-03,Bemmel,1,nee,https://nl.linkedin.com/jobs/view/global-head-of-customer-programs-at-element-logic%C2%AE-4463270811,customer happiness
Elevation Group,elevation.nl,geraden en bevestigd,Administratief Medewerker Inkoop,,2026-09-08,'s-Gravenhage,1,nee,https://nl.linkedin.com/jobs/view/administratief-medewerker-inkoop-at-elevation-group-4464623531,orderverwerking medewerker
Elevation Partners,elevationpartners.nl,geraden en bevestigd,Manager klantsuccessen,ja,2026-08-27,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/manager-klantsuccessen-at-elevation-partners-4459828399,customer happiness
ELIS,nl.elis.com,geraden en bevestigd,Customer Relations Medewerker,ja,2026-09-17,Schiedam,1,nee,https://nl.linkedin.com/jobs/view/customer-relations-medewerker-at-elis-4465088471,klantenservice medewerker
Endeavour,endeavour.nl,geraden en bevestigd,Medior Allround Online Marketeer,,2026-07-30,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/medior-allround-online-marketeer-at-endeavour-4446747400,webcare medewerker
Energie VanOns,energie.vanons.org,geraden en bevestigd,Medewerker klantenservice,ja,2026-09-17,"Groningen, Nederland",1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-at-energie-vanons-4468636614,klantenservice medewerker
Entra,entra.nl,geraden en bevestigd,Employé service clients,,2026-09-08,Charleroi en omgeving,1,nee,https://be.linkedin.com/jobs/view/employ%C3%A9-service-clients-at-entra-4451118711,klantenservice medewerker
Equalture,equalture.com,geraden en bevestigd,Customer Success Manager,ja,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-equalture-4467736231,customer happiness
Equinix,equinix.com,geraden en bevestigd,Regional Customer Success Management - Enterprise,,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/regional-customer-success-management-enterprise-at-equinix-4467605803,customer happiness
ERIKS Netherlands,eriks.com,geraden en bevestigd,Medewerker Order Service Team,ja,2026-09-22,Alkmaar,1,nee,https://nl.linkedin.com/jobs/view/medewerker-order-service-team-at-eriks-netherlands-4470402866,orderverwerking medewerker
Essity,essity.com,geraden en bevestigd,Customer Facing &amp; Order Management Representative,ja,2026-08-28,Zeist,1,nee,https://nl.linkedin.com/jobs/view/customer-facing-order-management-representative-at-essity-4458075797,klantenservice medewerker
Euro Pizza Products,europizzaproducts.com,geraden en bevestigd,Business Support Medewerker,ja,2026-09-03,Amstelveen,1,nee,https://nl.linkedin.com/jobs/view/business-support-medewerker-at-euro-pizza-products-4462780476,support medewerker webshop
Eurofins,eurofins.com,geraden en bevestigd,Customer Support Medewerker,ja,2026-07-09,Amersfoort,2,nee,https://nl.linkedin.com/jobs/view/customer-support-medewerker-at-eurofins-4438595647,customer service
Europe Cycle Company,europecycle.com,geraden en bevestigd,Klantenservice/Aftersales,,2025-12-03,Aalsmeer,1,nee,https://nl.linkedin.com/jobs/view/klantenservice-aftersales-at-europe-cycle-company-4341551459,klantenservice medewerker
Euroports,euroports.com,geraden en bevestigd,Customer Service Executive,,2026-09-12,"Kallo, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-executive-at-euroports-4428044046,klantenservice medewerker
Eve Curls,evecurls.nl,geraden en bevestigd,COO Fast Growing DTC/CPG Brand,,2026-09-21,Nederland,1,nee,https://nl.linkedin.com/jobs/view/coo-fast-growing-dtc-cpg-brand-at-eve-curls-4469911975,webshop beheerder
Evers Kassasystemen bv,evers-kassasystemen.nl,geraden en bevestigd,Junior Support Medewerker,ja,2026-08-27,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/junior-support-medewerker-at-evers-kassasystemen-bv-4457744746,webcare medewerker
Eye Security,eye.security,geraden en bevestigd,Customer Success Manager Netherlands (m/f/x),ja,2026-09-01,Rotterdam and The Hague,2,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-netherlands-m-f-x-at-eye-security-4442097035,customer happiness
Facilicom Groep,facilicom.nl,geraden en bevestigd,Senior Digital Marketeer,,2026-09-18,Schiedam,1,nee,https://nl.linkedin.com/jobs/view/senior-digital-marketeer-at-facilicom-groep-4469172168,webcare medewerker
Farm Frites,farmfrites.com,geraden en bevestigd,Customer Service Medewerker,ja,2026-09-19,"Zuid-Holland, Nederland",1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-farm-frites-4441375026,klantenservice medewerker
Fashion Cloud,fashion.cloud,geraden en bevestigd,Product Success Manager - EDI,,2026-08-10,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/product-success-manager-edi-at-fashion-cloud-4451568032,support medewerker webshop
Felix NL,felix.nl,geraden en bevestigd,Customer Service Representative Belgium &amp; Luxemburg,ja,2026-09-20,Helmond,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-belgium-luxemburg-at-felix-nl-4468447647,klantenservice medewerker
Ferdinand Zandbergen B.V.,fzandbergen.nl,geraden en bevestigd,Sales Support Medewerker,ja,2026-09-09,Woudenberg,1,nee,https://nl.linkedin.com/jobs/view/sales-support-medewerker-at-ferdinand-zandbergen-b-v-4465051599,orderverwerking medewerker
Fidus,fidus.nl,geraden en bevestigd,Adviseur Particuliere Verzekeringen,,2026-09-03,Huizen,1,nee,https://nl.linkedin.com/jobs/view/adviseur-particuliere-verzekeringen-at-fidus-4450704441,klantadviseur
finc,finc.com,geraden en bevestigd,Customer Service medewerker,ja,2026-09-10,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-finc-4440685861,klantenservice medewerker
Findwhere,findwhere.com,geraden en bevestigd,Growth Marketeer,,2026-09-14,Noordwijk aan Zee,1,nee,https://nl.linkedin.com/jobs/view/growth-marketeer-at-findwhere-4467089736,webcare medewerker
Fine Dining & Living,finediningandliving.eu,geraden en bevestigd,Customer Service Medewerker,ja,2026-09-11,"Geel, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-fine-dining-living-4464847888,klantenservice medewerker
Firma Reinders B.V.,firmareinders.nl,geraden en bevestigd,Coördinator Online Veilingen Hardenberg | Fulltime |,,2026-07-22,Hardenberg,1,nee,https://nl.linkedin.com/jobs/view/co%C3%B6rdinator-online-veilingen-hardenberg-fulltime-at-firma-reinders-b-v-4443197710,webshop beheerder
FITZ,fitz.nl,geraden en bevestigd,Digital Marketing Specialist | Uitstekend Nederlands vereist,,2026-08-31,"Utrecht, Nederland",1,nee,https://nl.linkedin.com/jobs/view/digital-marketing-specialist-uitstekend-nederlands-vereist-at-fitz-4438616024,content specialist webshop
Fixami,fixami.com,geraden en bevestigd,Franse Customer Service Medewerker,ja,2026-07-28,Tilburg,2,nee,https://nl.linkedin.com/jobs/view/franse-customer-service-medewerker-at-fixami-4445449934,support medewerker webshop
Flatline Agency ™️,flatlineagency.com,geraden en bevestigd,Shopify Consultant,,2026-07-28,Amsterdam,5,nee,https://nl.linkedin.com/jobs/view/shopify-consultant-at-flatline-agency-%E2%84%A2%EF%B8%8F-4445412861,support medewerker webshop
Flatpay,flatpay.com,geraden en bevestigd,Customer Support Agent,ja,2026-09-05,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-support-agent-at-flatpay-4454509382,customer service
Flitsmeister,flitsmeister.nl,geraden en bevestigd,Customer Support Specialist,ja,2026-09-09,Veenendaal,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-flitsmeister-4445733076,customer service
Flokk Nederland,flokk.com,geraden en bevestigd,Customer service medewerker Benelux,ja,2026-07-27,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-benelux-at-flokk-nederland-4445900924,klantenservice medewerker
FLÂNEUR,flneur.com,geraden en bevestigd,Operations Lead,,2026-07-06,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/operations-lead-at-fl%C3%A2neur-4437472534,webshop beheerder
Foot Locker,footlocker.nl,geraden en bevestigd,"Associate Manager, Copy",,2026-09-18,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/associate-manager-copy-at-foot-locker-4466689697,content specialist webshop
Forbo Flooring Systems,forbo.com,geraden en bevestigd,Website Specialist,,2026-09-09,Assendelft,1,nee,https://nl.linkedin.com/jobs/view/website-specialist-at-forbo-flooring-systems-4465015139,webshop beheerder
Forbo Group,forbo.nl,geraden en bevestigd,Website Specialist,,2026-09-09,Assendelft,1,nee,https://nl.linkedin.com/jobs/view/website-specialist-at-forbo-group-4465066016,webcare medewerker
Fortezza Groep,fortezza.com,geraden en bevestigd,Servicedesk Medewerker,ja,2026-08-26,Zoetermeer,1,nee,https://nl.linkedin.com/jobs/view/servicedesk-medewerker-at-fortezza-4459307317,webcare medewerker
Foxelli Group,foxelli.com,geraden en bevestigd,Email Marketing Specialist| DTC E-commerce | 100% Remote EU,,2026-07-31,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/email-marketing-specialist-dtc-e-commerce-100%25-remote-eu-at-foxelli-group-4447525692,e-commerce medewerker
Fresh 'n Rebel,freshnrebel.com,geraden en bevestigd,Medewerker Commercial Backoffice Rotterdam HQ 32h-40h,,2026-08-05,Rotterdam,1,ja,https://nl.linkedin.com/jobs/view/medewerker-commercial-backoffice%0Arotterdam-hq%0A32h-40h-at-fresh-n-rebel-4447308836,orderverwerking medewerker
Fresh People,freshpeople.nl,geraden en bevestigd,online merchandiser,,2026-08-31,Zaandam,1,nee,https://nl.linkedin.com/jobs/view/online-merchandiser-at-fresh-people-4461205780,e-commerce medewerker
Funda,funda.nl,geraden en bevestigd,Frontend Developer,,2026-09-17,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/frontend-developer-at-funda-4458164601,webcare medewerker
FuturumShop,futurumshop.nl,geraden en bevestigd,Magazijnmedewerker,,2026-09-11,Apeldoorn,1,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-futurumshop-4466066163,logistiek medewerker webshop
Fyffes,fyffes.com,geraden en bevestigd,OTC Analyst,,2026-09-03,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/otc-analyst-at-fyffes-4434988333,orderverwerking medewerker
GANNI,ganni.com,geraden en bevestigd,"Full-time Client Advisor - Runstraat, Amsterdam",,2026-09-18,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/full-time-client-advisor-runstraat-amsterdam-at-ganni-4440901648,klantadviseur
Garanti BBVA International,garantibbva.com.tr,geraden en bevestigd,Klantcontactadviseur Sparen,ja,2026-05-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/klantcontactadviseur-sparen-at-garanti-bbva-international-4403973280,klantenservice medewerker
GDB Logistics,gdblogistics.com,geraden en bevestigd,Customer Support Specialist,ja,2026-08-10,Alkmaar,1,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-gdb-logistics-4451529684,customer service
Gebeco,gebeco.com,geraden en bevestigd,Mitarbeiter/in (m/w/d) Gebeco Service - Team / auch als Quereinsteiger/in,,2026-07-29,"Kiel, Vlaanderen, België",1,nee,https://be.linkedin.com/jobs/view/mitarbeiter-in-m-w-d-gebeco-service-team-auch-als-quereinsteiger-in-at-gebeco-4446038916,klantenservice medewerker
Gemeente Ede,gemeenteede.nl,geraden en bevestigd,Contentspecialist,,2026-09-22,Ede,1,nee,https://nl.linkedin.com/jobs/view/contentspecialist-at-gemeente-ede-4468591530,content specialist webshop
Gemeente Krimpenerwaard,gemeentekrimpenerwaard.nl,geraden en bevestigd,Medewerker Klantcontact,ja,2026-09-17,Bergambacht,1,nee,https://nl.linkedin.com/jobs/view/medewerker-klantcontact-at-gemeente-krimpenerwaard-4468643620,klantenservice medewerker
Genesys,genesys.nl,geraden en bevestigd,Customer Success Director,,2026-07-16,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/customer-success-director-at-genesys-4436073958,customer happiness
GENUINE,genuine.com,geraden en bevestigd,Growth Manager TikTok Shop - Netherlands (m/f/d),,2026-09-04,Arnhem,1,nee,https://nl.linkedin.com/jobs/view/growth-manager-tiktok-shop-netherlands-m-f-d-at-genuine-4461147732,online marketeer webshop
Geotab,geotab.com,geraden en bevestigd,SMB Senior Customer Success Manager (CSM) Netherlands,ja,2026-09-18,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/smb-senior-customer-success-manager-csm-netherlands-at-geotab-4467845183,customer happiness
Get-e,gete.nl,geraden en bevestigd,Client Relationship Manager,,2026-09-10,Hoofddorp,1,nee,https://nl.linkedin.com/jobs/view/client-relationship-manager-at-get-e-4465648005,customer happiness
Giga Meubel,gigameubel.nl,geraden en bevestigd,Klantenservice medewerker 32-40 uur,ja,2026-09-08,Barneveld,2,nee,https://nl.linkedin.com/jobs/view/klantenservice-medewerker-32-40-uur-at-giga-meubel-4462523800,klantenservice medewerker
Glanbia,glanbia.com,geraden en bevestigd,eCommerce Manager,,2026-09-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/ecommerce-manager-at-glanbia-4461710019,webshop beheerder
Globus Medical,globusmedical.com,geraden en bevestigd,Sr Customer Service Representative,ja,2025-06-10,Brunssum,2,nee,https://nl.linkedin.com/jobs/view/sr-customer-service-representative-at-globus-medical-4245482430,klantenservice medewerker
Go Dutch Label,go-dutch-label.nl,geraden en bevestigd,Buying &amp; Product Coordinator,,2026-09-22,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/buying-product-coordinator-at-go-dutch-label-4470287757,webshop beheerder
GO! Express & Logistics,goexpresslogistics.com,geraden en bevestigd,Customer Service Agent (40 uur),ja,2026-09-08,Veenendaal,1,nee,https://nl.linkedin.com/jobs/view/customer-service-agent-40-uur-at-go%21-express-logistics-4462293610,klantenservice medewerker
GoDutch,godutch.com,geraden en bevestigd,Customer Operations Agent,ja,2026-01-13,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-operations-agent-at-godutch-4354448067,klantenservice medewerker
GoedGepickt Webwinkel Magazijnsoftware,goedgepickt.nl,geraden en bevestigd,Customer Success &amp; Support Specialist,ja,2026-07-02,Etten-Leur,1,nee,https://nl.linkedin.com/jobs/view/customer-success-support-specialist-at-goedgepickt-webwinkel-magazijnsoftware-4435018603,customer happiness
Golazo Events NL,golazo.com,geraden en bevestigd,Medewerker Marketing &amp; Communicatie,,2026-09-15,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/medewerker-marketing-communicatie-at-golazo-events-nl-4467716463,content specialist webshop
Goldbergh,goldbergh.com,geraden en bevestigd,Email &amp; CRM Marketeer,,2026-08-27,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/email-crm-marketeer-at-goldbergh-4459803918,e-commerce medewerker
GoodHabitz,goodhabitz.com,geraden en bevestigd,Content and Campaigns Specialist,,2026-09-14,'s-Hertogenbosch,4,nee,https://nl.linkedin.com/jobs/view/content-and-campaigns-specialist-at-goodhabitz-4467499135,content specialist webshop
GoSpooky,gospooky.com,geraden en bevestigd,Social Commerce Account Lead,,2026-09-15,Amsterdam,3,nee,https://nl.linkedin.com/jobs/view/social-commerce-account-lead-at-gospooky-4465599038,online marketeer webshop
Green Qube Services,greenqubeservices.com,geraden en bevestigd,Warehouse Associate,,2026-09-21,Drunen,1,nee,https://nl.linkedin.com/jobs/view/warehouse-associate-at-green-qube-services-4469910481,logistiek medewerker webshop
Greenchoice,greenchoice.nl,geraden en bevestigd,Medewerker Klantenservice Zakelijk,ja,2026-09-07,Nijmegen,3,nee,https://nl.linkedin.com/jobs/view/medewerker-klantenservice-zakelijk-at-greenchoice-4464371525,klantenservice medewerker
Greener Power Solutions,greenerpowersolutions.com,geraden en bevestigd,Content Specialist,,2026-08-31,Amsterdam Area,2,nee,https://nl.linkedin.com/jobs/view/content-specialist-at-greener-power-solutions-4461084883,content specialist webshop
GreenV,greenv.com,geraden en bevestigd,Logistiek / Magazijn Medewerker | Fulltime | Wateringen,,2026-05-07,Wateringen,1,nee,https://nl.linkedin.com/jobs/view/logistiek-magazijn-medewerker-fulltime-wateringen-at-greenv-4420932423,logistiek medewerker webshop
Greyt,greyt.nl,geraden en bevestigd,Digital (Content) Marketeer,,2026-09-02,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/digital-content-marketeer-at-greyt-4462180528,content specialist webshop
Growth Team,growth-team.nl,geraden en bevestigd,Growth Marketeer Medior (32-40 uur),,2026-08-18,Lelystad,1,nee,https://nl.linkedin.com/jobs/view/growth-marketeer-medior-32-40-uur-at-growth-team-4455920796,content specialist webshop
Grozette BV,grozette.com,geraden en bevestigd,Medewerker Binnendienst,,2026-07-30,Woerden,1,nee,https://nl.linkedin.com/jobs/view/medewerker-binnendienst-at-grozette-bv-4446568559,orderverwerking medewerker
GTE,gte-shop.com,geraden en bevestigd,Senior AI-Native Shopify Developer,,2026-09-10,Nieuwegein,14,nee,https://nl.linkedin.com/jobs/view/senior-ai-native-shopify-developer-at-gte-4464587173,webshop beheerder
HabitasConnects,habitasconnects.nl,geraden en bevestigd,Senior E-commerce &amp; Marketplace Medewerker | 24-32 uur | Oud-Beijerland,,2026-09-14,Oud-Beijerland,1,nee,https://nl.linkedin.com/jobs/view/senior-e-commerce-marketplace-medewerker-24-32-uur-oud-beijerland-at-habitasconnects-4465220223,e-commerce medewerker
Hager Nederland,hager.com,geraden en bevestigd,Medewerker Ordermanagement,ja,2026-09-11,'s-Hertogenbosch,1,nee,https://nl.linkedin.com/jobs/view/medewerker-ordermanagement-at-hager-netherlands-4466042094,orderverwerking medewerker
Hammer IT Services B.V.,hammerit.nl,geraden en bevestigd,Allround Medewerker IT &amp; Klantenservice,ja,2026-08-26,Zevenaar,1,nee,https://nl.linkedin.com/jobs/view/allround-medewerker-it-klantenservice-at-hammer-it-services-b-v-4459328254,webcare medewerker
Handpicked,handpicked.com,geraden en bevestigd,Open sollicitatie - Handpicked,,2024-11-26,Eindhoven,2,nee,https://nl.linkedin.com/jobs/view/open-sollicitatie-handpicked-at-handpicked-4085645237,online marketeer webshop
Happy Hair Service,happyhairservice.nl,geraden en bevestigd,E-commerce &amp; Content Specialist,,2026-09-15,Berkel en Rodenrijs,1,nee,https://nl.linkedin.com/jobs/view/e-commerce-content-specialist-at-happy-hair-service-4467753157,webcare medewerker
Happy Horizon,happyhorizon.com,geraden en bevestigd,Digital Project Manager,,2026-07-24,Eindhoven,1,nee,https://nl.linkedin.com/jobs/view/digital-project-manager-at-happy-horizon-4455749464,webshop beheerder
Happy On Web B.V.,happyonweb.nl,geraden en bevestigd,Fulltime Klantenservice &amp; Webshop medewerker Eindhoven,ja,2026-08-05,Eindhoven Area,1,nee,https://nl.linkedin.com/jobs/view/fulltime-klantenservice-webshop-medewerker-eindhoven-at-happy-on-web-b-v-4449629126,e-commerce medewerker
Harmony Auto Netherlands,harmonyauto.com,geraden en bevestigd,Sales Consultant,,2026-09-11,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/sales-consultant-at-harmony-auto-netherlands-4466090723,klantadviseur
Hart Beach,hartbeach.nl,geraden en bevestigd,Website &amp; Webshop Beheerder,,2026-09-19,'s-Gravenhage,1,nee,https://nl.linkedin.com/jobs/view/website-webshop-beheerder-at-hart-beach-4469525581,webcare medewerker
Haselhoff Groep,haselhoff.nl,geraden en bevestigd,ICT Supportdesk Medewerker 1e en 2e lijns,ja,2026-07-27,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/ict-supportdesk-medewerker-1e-en-2e-lijns-at-haselhoff-groep-4428635483,webcare medewerker
HAVI,havi.com,geraden en bevestigd,Customer Service medewerker,ja,2026-09-10,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-havi-4428890417,klantenservice medewerker
Haystack People,haystackpeople.nl,geraden en bevestigd,Customer Support Specialist,ja,2026-09-18,Haarlem,3,nee,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-haystack-people-4467860501,customer service
HB17 Werkt,hb17.nl,geraden en bevestigd,Online marketeer,,2026-09-03,Goes,1,nee,https://nl.linkedin.com/jobs/view/online-marketeer-at-hb17-werkt-4434817800,online marketeer webshop
HealthConnected (NL),healthconnected.nl,geraden en bevestigd,Customer Succes Specialist,ja,2026-09-11,Alkmaar,1,nee,https://nl.linkedin.com/jobs/view/customer-succes-specialist-at-healthconnected-nl-4466090452,customer happiness
HeatTransformers,heattransformers.com,geraden en bevestigd,Sales Agent (Commercieel Adviseur),,2026-07-09,Woerden,1,nee,https://nl.linkedin.com/jobs/view/sales-agent-commercieel-adviseur-at-heattransformers-4438607247,klantadviseur
Hedin Automotive NL,hedinautomotive.nl,geraden en bevestigd,Service Support Medewerker BMW en MINI,ja,2026-09-21,Breda,8,nee,https://nl.linkedin.com/jobs/view/service-support-medewerker-bmw-en-mini-at-hedin-automotive-nl-4468761964,klantadviseur
HelloFresh,hellofresh.nl,geraden en bevestigd,Junior Content Marketing specialist (f/m/x),,2026-09-16,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/junior-content-marketing-specialist-f-m-x-at-hellofresh-4468251961,content specialist webshop
Hems B.V.,hems.nl,geraden en bevestigd,Meewerkend voorman/Orderpicker Expeditie nacht,,2026-07-20,Doetinchem,1,nee,https://nl.linkedin.com/jobs/view/meewerkend-voorman-orderpicker-expeditie-nacht-at-hems-b-v-4442557709,orderverwerking
Hemubo,hemubo.nl,geraden en bevestigd,Support medewerker ICT,ja,2026-09-17,Almere,1,nee,https://nl.linkedin.com/jobs/view/support-medewerker-ict-at-hemubo-4457974171,webcare medewerker
Herbalife,herbalife.com,geraden en bevestigd,Customer Service Representative with English and Dutch - Netherlands and Belgium,ja,2026-09-04,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/customer-service-representative-with-english-and-dutch-netherlands-and-belgium-at-herbalife-4434132710,klantenservice medewerker
Hermès,hermsbv.nl,geraden en bevestigd,"Client Relations Agent (Fluent in Dutch, French and English)",,2026-09-05,"Cimetière de Bruxelles, België",5,nee,https://be.linkedin.com/jobs/view/client-relations-agent-fluent-in-dutch-french-and-english-at-herm%C3%A8s-4434640210,klantenservice medewerker
Het Notarieel,hetnotarieel.nl,geraden en bevestigd,Frontoffice medewerker,,2026-08-31,Zwolle,1,nee,https://nl.linkedin.com/jobs/view/frontoffice-medewerker-at-het-notarieel-4461094787,webcare medewerker
HiBob,hibob.com,geraden en bevestigd,Dutch speaking Enterprise Customer Success Manager,ja,2026-09-22,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/dutch-speaking-enterprise-customer-success-manager-at-hibob-4470298188,customer happiness
Hilti Nederland BV,hilti.nl,geraden en bevestigd,Customer Service Agent,ja,2026-07-07,Berkel en Rodenrijs,1,nee,https://nl.linkedin.com/jobs/view/customer-service-agent-at-hilti-nederland-bv-4432261574,customer service
Hofweb,hofweb.nl,geraden en bevestigd,Coördinator Orderpick,ja,2026-09-11,Biddinghuizen,1,nee,https://nl.linkedin.com/jobs/view/co%C3%B6rdinator-orderpick-at-hofweb-4466048349,orderverwerking
Holmen,holmen.com,geraden en bevestigd,Customer Service employee DACH,,2026-09-21,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-service-employee-dach-at-holmen-4458134943,klantenservice medewerker
Hoppenbrouwers,hoppenbrouwers.nl,geraden en bevestigd,Functioneel Beheerder SharePoint en Teams,,2026-05-04,Udenhout,1,nee,https://nl.linkedin.com/jobs/view/functioneel-beheerder-sharepoint-en-teams-at-hoppenbrouwers-4410035669,webshop beheerder
Hostnet,hostnet.nl,geraden en bevestigd,Customer Success Representative,ja,2026-09-17,Amsterdam,2,nee,https://nl.linkedin.com/jobs/view/customer-success-representative-at-hostnet-bv-4456027234,customer happiness
Hotelprofessionals,hotelprofessionals.nl,geraden en bevestigd,Guest Service Agent,ja,2026-09-21,Amsterdam,19,nee,https://nl.linkedin.com/jobs/view/guest-service-agent-at-hotelprofessionals-4468781335,customer service
HousApp,housapp.com,geraden en bevestigd,Customer Success Manager,ja,2026-06-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/customer-success-manager-at-housapp-4421803765,customer happiness
Houthoff,houthoff.com,geraden en bevestigd,Marketing- &amp; Communicatiemedewerker,,2026-09-01,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/marketing-communicatiemedewerker-at-houthoff-4461708868,webcare medewerker
Hubo,hubo.nl,geraden en bevestigd,Campagne &amp; Content Marketeer,,2026-07-10,Amersfoort,1,nee,https://nl.linkedin.com/jobs/view/campagne-content-marketeer-at-hubo-4438329167,online marketeer webshop
HUGO BOSS,hugoboss.com,geraden en bevestigd,Service &amp; Process Assistant - Commercial Operations (m/f) I Fulltime (40h),,2026-09-04,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/service-process-assistant-commercial-operations-m-f-i-fulltime-40h-at-hugo-boss-4461195761,e-commerce medewerker
HumanTotalCare,humantotalcare.nl,geraden en bevestigd,Content specialist,,2026-09-08,Utrecht,1,nee,https://nl.linkedin.com/jobs/view/content-specialist-at-humantotalcare-4463295757,content specialist webshop
