bedrijf,domein,faseA_rang,beslisser,functie,beslisser_status,bron_beslisser,trigger,reviewsignaal,servicebelofte,onderzoekshoek,openstaand
Aaiko,aaiko.com,2,Pauline Brakenhoff,oprichter / directeur,GEVERIFIEERD,"FashionUnited 16-07-2020: mede-oprichter Rob Groenteman vertrok, Brakenhoff nam aandelen over",Hoofdkantoor verhuisd naar Rigakade Houthavens Amsterdam. 20-jarig bestaan op Amsterdam Fashion Week. 62 procent omzetgroei (Elevate Digital case),Trustpilot: reviewer wachtte na aflevering retourpakket ruim drie weken op terugbetaling en raadt de webshop af,"tel +31 20 4922921, webshop@aaiko.com, retour vanaf 4,00 PostNL of 5,95 Returnista, terugbetaling tot 14 werkdagen","62 procent groei erbij met dezelfde afdeling. Meer omzet is meer retouren, en een terugbetaling van drie weken is wat er dan als eerste knapt","fte klantcontact, adres Rigakade"
10DAYS,10days.nl,3,Barbara Hilbrink en Myon Veenendaal,oprichters,GEVERIFIEERD,FashionUnited en Talkies Magazine. Nieuw managementteam gemeld door RetailTrends en Fonk,Sinds 01-03-2026 Sabrina Hartmann Country Coordinator Duitsland met teamleiding. Duitsland is NL voorbij als markt. E-commerce richting 30 procent. Grootste winkel geopend nov 2025,"Trustpilot: trage terugbetaling, 14 werkdagen terwijl de wet 14 kalenderdagen voorschrijft. Klant met order van 200 euro wachtte vijf weken en mailde vijfmaal. Standaardantwoorden zonder oplossing","belofte binnen 48 uur, tel +31 20 763 0150, draait Gorgias (10days.gorgias.help)",Duitsland is de grootste markt en klantcontact loopt in twee talen door dezelfde mailbox,"LET OP: 30 miljoen omzet en 100 fte, boven de afgesproken band"
Summum Woman,summumwoman.com,4,"Jos Wijker (oprichter/eigenaar) en Lars Gelling (commercieel directeur, 18 jaar)",oprichter en commercieel directeur,GEVERIFIEERD,FashionUnited,"Modexpress nam vanaf juli alle B2B-nabestellingen plus B2C-orders en retouren over. Brandstore Breda geopend 31-07-2025, derde in het zuiden. 11 eigen winkels, verkoop in 18 landen",Kiyoh: klant moest driemaal contact opnemen voordat duidelijk werd dat hij zijn eigen retourlabel moest betalen,"service@summumwoman.com, tel +31 85 107 08 76, ma t/m vr 10:00-18:00, terugbetaling binnen 10 dagen",Ze hebben de logistiek net uitbesteed omdat die te groot werd. Het klantcontact eromheen ligt nog bij het eigen team,wie is na de Modexpress-overgang eigenaar van klantcontact
LaDress,ladress.com,5,Simone van Trojen,oprichter / mede-eigenaar,GEVERIFIEERD,"RetailTrends, EW Magazine feb 2025, VNO-NCW",RetailTrends-podcast 16-03-2021 over retaillessen en de reorganisatie van 2019. VNO-NCW-citaat: Niet alles kan perfect zijn. MT/Sprout: raad van advies aangesteld,"Trustpilot 4 sterren, tweedeling. Positief over snelle hulp, negatief over onbeantwoorde mails en een onvriendelijke tot arrogante toon","info@ladress.com, tel +31 20 528 5028, WhatsApp open","Haar eigen zin over dat niet alles perfect kan zijn is waar dit over gaat. Na 2019 bewust ingekrompen, en de klant die extra aandacht nodig heeft krijgt die niet","podcast is uit 2021, zoek recenter aanknopingspunt"
Lekker Bikes,lekkerbikes.com,6,Meindert Wolfraad (oprichter) en Niels Bark (CEO Europe BV),oprichter en CEO,GEVERIFIEERD,"velobiz.de en bedrijfsprofiel, circa 25 fte in Amsterdam","Eerste brandstore in Duitsland geopend. Daarnaast winkels in Melbourne, Sydney en Brisbane","Trustpilot loopt door tot circa 70 paginas. Lange reactietijden, reparatie buiten Amsterdam beperkt, contact vooral via mail en dat voelt als omweg. Slecht gemonteerde fietsen met losse bouten, moeizame garantie","belofte binnen 24 uur, tel +31 20 245 5460, Freshdesk, 13 taalvarianten","Een e-bike van duizend euro met een losse bout, en de enige weg naar een oplossing is een mail die dagen blijft liggen",
Catwalk Junkie,catwalkjunkie.com,7,"Ben van 't Veld (directeur/eigenaar U.S.P. Fashion) en Marieke Willemars (oprichter, creative director)",directeur en creative director,GEVERIFIEERD,Textilia en FashionUnited,"Hernieuwde focus en positionering bij Catwalk Junkie en zustermerk Kultivate. Circa 750 verkooppunten plus eigen webshop, ontwerpt voor NL, BE en DE","Trustpilot: na drie weken nog geen geld terug, berichten via het websiteformulier onbeantwoord, weinig andere contactmogelijkheden. Klant met foto's van kapot artikel teruggestuurd naar de winkel","belofte binnen 24 uur, ma t/m vr 9:00-18:00, catwalkjunkie@uspfashion.com, geen telefoonnummer en geen chat, retour gratis in NL met 60 dagen","Ze beloven 24 uur en het enige kanaal is een formulier. Twee merken, 750 verkooppunten, drie landen, en de klant staat voor een dichte deur",
Violet Hamden,violethamden.com,9,,,OPEN,"De Juwelier 04-04-2018 kondigde Violet Hamden aan als nieuw merk voor distributeur Orfac. Zoekresultaten haalden dit merk door een ander sieradenmerk heen, dus namen bewust weggelaten","Collectie in twee jaar sterk uitgebreid naar meer categorieen. Selectieve distributie, gemiddeld 1,4 artikelen per aankoop","Twaalf paginas Trustpilot. Klantenservice moeilijk bereikbaar en traag, telefoongesprekken verbroken, mails onbeantwoord. Garantie afgewezen met beroep op eigen schuld. Retouren komen aan zonder terugbetaling. Ringen breken en verguldlaag verkleurt binnen weken","servicepaginas niet leesbaar voor de scanner, geen telefoonnummer in beeld",Productklachten en serviceklachten versterken elkaar. Elke garantiediscussie die misgaat staat binnen een week op Trustpilot,eigendomsstructuur en beslisser uitzoeken voor er research op gaat
Colourful Rebel,colourfulrebel.com,10,"Frank en Bas van de Brug, met Oscar Kemps",oprichters,GEVERIFIEERD,"FashionUnited en RetailTrends. FashionUnited meldde in 2017 een nieuwe CEO, dus huidige rolverdeling bevestigen","RetailTrends: 8 tot 10 miljoen omzet 2025, doel 25 miljoen. Vanaf januari via Zalando en live in zeven Europese landen. Site voert 33 taalvarianten",Gemengd. Sommigen dezelfde dag antwoord en gratis vervanging. Anderen vijf dagen op eerste reactie en daarna een week zonder opvolging,"webshop@colourfulrebel.com, tel +31 20 2149750, ma t/m do 09:30-17:30 en vr tot 17:00, retour 5,95 met 60 dagen","Van 10 naar 25 miljoen, zeven landen en Zalando, met een servicedesk die om half zes dichtgaat. Wat gebeurt er in het eerste kwartaal dat het volume verdubbelt",
Poederbaas,poederbaas.com,11,,,OPEN,"Poederbaas International B.V., Amsterdam. Merk gestart in 2010 met zelfgebreide mutsen","Van accessoires naar complete skikleding met eerste jassen- en broekencollectie. Tientallen verkooppunten in Europa, eigen Freeride Festival, focus op BE, AT en DE. TikTok in korte tijd belangrijkste sociale kanaal (Tailor Digital)","8,9 uit 10 over ruim 285 reviews. Bezorging uitstekend. Kritiek steeds hetzelfde: klantenservice reageert niet altijd snel genoeg en communicatie kan helderder, vooral bij afwijkend product of langere retour","info@poederbaas.com, tel 036 4361980, WhatsApp open, 54 taalvarianten","Wintersport is een seizoenspiek in zuiverste vorm. Alle vragen in tien weken, de rest van het jaar stil. Een vast team daarop inrichten kan niet uit",
Cosmeau,cosmeau.com,12,,,OPEN,"Namen bewust leeg, niet hard gevonden","Rabobank-artikel: 2.000 m2 fabriek en 2.500 m2 magazijn in Velsen-Noord, machinale massaproductie geurparels gestart in mei, winkel in Haarlem geopend, eerste patent verwacht in 2025, meer dan 200.000 huishoudens, wasstrips bestverkocht op bol.com en amazon.de","Overwegend positief. Snelle levering, vlotte reacties, kapotte fles direct vervangen met samples, handgeschreven briefjes in de doos. 1.843 reviews zichtbaar","support@cosmeau.com, ma t/m vr 10:00-17:00, geen telefoonnummer, Crisp als chat",Hun eigen zin bij Rabobank: door het interne team klein te houden blijven ze scherp in prijs tegenover huismerken. Uitbesteed klantcontact is de enige manier om zowel klein team als 200.000 huishoudens waar te maken,oprichters en eigenaar klantcontact vaststellen
